Season,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2024,"Druw Jones","ARI","A",20,315,0.4,2.882352941,0.204819277,0.590361445,0.204819277,0.088235294,0.147058823,0.32163743,0.24561404,0.43274854,0.10764431,510,772,1282,"sa3020676"
2023,"Colby Thomas","OAK","A",22,327,0.3592233,1.033333333,0.120192307,0.447115384,0.432692307,0.122222222,0.088888888,0.48598131,0.25700935,0.25700935,0.13681592,456,750,1206,"sa3020713"
2023,"Brett Squires","KCR","A",23,511,0.36121673,0.868421052,0.225454545,0.36,0.414545454,0.175438596,0.131578947,0.47857143,0.275,0.24642857,0.17772397,783,1282,2065,"sa3020714"
2023,"Andrew Pintar","ARI","A",22,61,0.292682926,1.5,0.102564102,0.538461538,0.358974358,0.357142857,0.071428571,0.33333333,0.35714286,0.30952381,0.08823529,94,144,238,"sa3020715"
2023,"Maddux Houghton","MIN","A",24,326,0.310734463,0.691358024,0.221590909,0.318181818,0.460227272,0.24691358,0.049382716,0.40331492,0.29281768,0.3038674,0.13681783,521,780,1301,"sa3020716"
2024,"Maddux Houghton","MIN","A",25,246,0.378571428,1.076923076,0.228571428,0.4,0.371428571,0.192307692,0.038461538,0.46478873,0.20422535,0.33098592,0.11885246,367,609,976,"sa3020716"
2023,"Gabriel Rincones Jr.","PHI","A",22,214,0.355932203,1.463414634,0.172131147,0.491803278,0.336065573,0.219512195,0.121951219,0.44,0.272,0.288,0.125,353,519,872,"sa3020758"
2023,"Tyresse Turner","CLE","A",23,209,0.345132743,1.41025641,0.175438596,0.48245614,0.342105263,0.153846153,0.051282051,0.40677966,0.18644068,0.40677966,0.17448857,314,517,831,"sa3020759"
2023,"Pres Cavenaugh","CLE","A",22,266,0.29113924,1.14516129,0.163522012,0.44654088,0.389937106,0.14516129,0.064516129,0.47530864,0.17901235,0.34567901,0.082846,405,621,1026,"sa3020760"
2023,"Marc Filia","CLE","A",22,257,0.210084033,0.818181818,0.152542372,0.381355932,0.466101694,0.145454545,0.109090909,0.48,0.264,0.256,0.10018727,454,614,1068,"sa3020761"
2023,"Nate Furman","CLE","A",21,175,0.375,1.470588235,0.229357798,0.458715596,0.311926605,0.117647058,0,0.4375,0.21428571,0.34821429,0.02628121,340,421,761,"sa3020763"
2023,"Guy Lipscomb","CLE","A",22,321,0.325358851,1.733333333,0.207729468,0.502415458,0.289855072,0.216666666,0.016666666,0.45714286,0.25714286,0.28571429,0.07257448,538,771,1309,"sa3020764"
2023,"Angel Zarate","CLE","A",23,307,0.318840579,1.064102564,0.218446601,0.402912621,0.378640776,0.102564102,0.025641025,0.47619048,0.23809524,0.28571429,0.09841535,457,742,1199,"sa3020825"
2023,"Andrew Fernandez","MIA","A",24,91,0.237288135,0.909090909,0.275862068,0.344827586,0.379310344,0.318181818,0,0.49152542,0.16949153,0.33898305,0.128125,112,208,320,"sa3020870"
2023,"Ethan Salas","SDP","A",17,220,0.328125,1.035714285,0.167883211,0.423357664,0.408759124,0.142857142,0.160714285,0.47058824,0.26470588,0.26470588,0.09048724,352,510,862,"sa3020881"
2023,"David Avitia","CHC","A",24,98,0.294117647,0.869565217,0.156862745,0.392156862,0.450980392,0.347826086,0.04347826,0.46296296,0.27777778,0.25925926,0.14832536,160,258,418,"sa3020939"
2023,"Turner Hill","SFG","A",24,347,0.317343173,1.853333333,0.173745173,0.536679536,0.289575289,0.093333333,0,0.42647059,0.23161765,0.34191176,0.04166667,528,792,1320,"sa3020943"
2023,"Archer Brookman","DET","A",24,88,0.272727272,1.25,0.162790697,0.465116279,0.372093023,0.0625,0.0625,0.45652174,0.19565217,0.34782609,0.11466667,171,204,375,"sa3020950"
2024,"Archer Brookman","DET","A",25,120,0.283950617,1.03030303,0.172839506,0.419753086,0.407407407,0.333333333,0.03030303,0.39759036,0.24096386,0.36144578,0.10964912,180,276,456,"sa3020950"
