Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2019,"Seamus Curran","BAL","A",21,119,420,474,94,63,14,0,17,58,60,47,0,125,4,3,0,11,1,1,0.223809523,"sa875212"
2016,"Connor Panas","TOR","A",23,98,321,383,74,45,10,3,16,46,50,45,2,97,12,4,1,3,3,4,0.230529595,"sa875228"
2017,"Gabriel Cancel","KCR","A",20,103,401,433,111,65,30,2,14,70,49,23,2,99,6,2,1,5,9,8,0.27680798,"sa875231"
2016,"Hutton Moyer","LAA","A",23,26,96,106,30,18,8,1,3,15,13,6,0,20,3,0,1,1,2,1,0.3125,"sa875235"
2017,"Cole Anderson","COL","A",20,18,58,67,12,7,4,0,1,8,4,6,0,32,2,1,0,0,5,2,0.206896551,"sa875238"
2016,"Sean Miller","MIN","A",21,90,361,388,95,70,17,4,4,48,50,10,1,56,5,7,5,10,7,5,0.263157894,"sa875243"
2016,"Zack Shields","CIN","A",23,101,367,398,88,68,14,6,0,44,19,24,0,82,4,1,2,4,22,9,0.239782016,"sa875248"
2017,"Luke Wakamatsu","CLE","A",20,100,377,419,90,58,17,3,12,49,53,32,0,100,4,5,1,4,8,5,0.23872679,"sa875259"
2017,"Adam Walton","ARI","A",23,72,244,266,65,47,15,1,2,26,25,17,0,60,3,1,1,7,6,2,0.266393442,"sa875273"
2016,"Steven Pallares","OAK","A",23,36,106,134,14,12,1,0,1,10,7,28,0,20,0,0,0,2,3,2,0.132075471,"sa875274"
2017,"Cole Bauml","DET","A",24,125,488,542,131,102,25,3,1,61,55,46,2,98,4,3,1,21,13,6,0.268442622,"sa875277"
2016,"Logan Landon","LAD","A",23,118,411,456,108,76,21,2,9,50,52,39,1,118,2,3,1,4,22,6,0.262773722,"sa875279"
2019,"Alexis Olmeda","LAA","A",25,31,107,122,20,16,2,0,2,14,15,13,0,40,1,1,0,4,0,0,0.186915887,"sa875281"
2017,"Alexis Olmeda","ARI","A",23,33,104,120,19,16,3,0,0,12,6,14,0,27,0,1,1,5,2,3,0.182692307,"sa875281"
2016,"Giovanny Alfonzo","MIA","A",23,66,207,226,46,37,6,1,2,12,14,12,0,50,2,2,3,7,3,3,0.222222222,"sa875291"
2018,"Giovanny Alfonzo","NYM","A",25,75,251,277,54,39,12,1,2,26,26,19,0,47,2,2,3,3,1,5,0.215139442,"sa875291"
2017,"Kurt Hoekstra","ATL","A",24,114,415,454,106,78,18,7,3,48,35,34,1,96,2,2,1,5,11,4,0.255421686,"sa875296"
2018,"Kurt Hoekstra","ATL","A",25,32,106,124,27,16,8,1,2,18,15,15,0,21,0,3,0,3,2,0,0.254716981,"sa875296"
2016,"Jake Henson","LAD","A",22,39,128,146,35,27,4,0,4,12,19,14,0,32,3,1,0,7,0,0,0.2734375,"sa875305"
2016,"Michael Pierson","LAA","A",24,70,250,274,60,45,13,1,1,22,27,16,1,45,1,3,4,4,3,1,0.24,"sa875309"
2017,"Eric Toole","COL","A",24,19,58,68,13,8,4,0,1,6,6,5,0,15,1,0,4,1,1,2,0.224137931,"sa875313"
2016,"Josh Altmann","TEX","A",21,72,227,258,59,35,16,2,6,43,30,23,0,38,8,0,0,3,9,7,0.259911894,"sa875314"
2018,"Jaylen Ferguson","BAL","A",20,24,70,75,12,8,2,0,2,9,5,3,0,27,2,0,0,1,0,0,0.171428571,"sa875317"
2019,"Jaylen Ferguson","BAL","A",21,24,98,105,29,19,6,4,0,13,18,7,0,25,0,0,0,2,8,1,0.295918367,"sa875317"
2016,"Tanner Lubach","LAA","A",23,72,255,277,59,40,15,1,3,32,19,13,0,63,3,2,3,4,2,0,0.231372549,"sa875321"
2017,"Nick Sinay","TOR","A",23,79,219,293,47,41,4,1,1,44,16,32,0,58,38,0,4,3,23,10,0.214611872,"sa875335"
2019,"Yeltsin Encarnacion","MIN","A",21,74,264,295,67,57,4,4,2,27,22,25,0,56,2,3,1,3,6,8,0.253787878,"sa875336"
2018,"Garrett Benge","BOS","A",22,31,104,131,34,25,7,0,2,19,12,27,0,18,0,0,0,0,1,1,0.326923076,"sa875340"
2016,"Brantley Bell","CIN","A",21,114,412,458,102,82,16,3,1,34,36,33,0,103,6,2,5,6,23,9,0.247572815,"sa875352"
2017,"Brantley Bell","CIN","A",22,63,229,256,55,39,13,1,2,25,32,21,2,72,3,3,0,7,15,5,0.240174672,"sa875352"
2016,"Ed Charlton","CIN","A",23,34,110,126,20,12,5,1,2,11,7,11,0,46,1,2,2,1,1,1,0.181818181,"sa875361"
2016,"Dillon Dobson","SFG","A",22,106,396,439,108,63,27,5,13,52,60,31,1,99,5,7,0,6,2,0,0.272727272,"sa875376"
2016,"Colton Frabasilio","KCR","A",23,18,63,74,13,11,0,1,1,6,10,7,0,12,0,4,0,2,1,0,0.206349206,"sa875382"
2018,"Reggie Pruitt","TOR","A",21,89,299,346,63,44,13,3,3,51,25,33,0,103,7,4,3,5,37,9,0.210702341,"sa875404"
2019,"Reggie Pruitt","TOR","A",22,88,337,384,92,71,12,8,1,55,22,40,0,101,3,3,1,1,40,13,0.272997032,"sa875404"
2016,"LeDarious Clark","TEX","A",22,82,314,334,76,41,20,3,12,43,34,14,0,99,2,0,4,0,25,10,0.242038216,"sa875568"
2016,"Peter Van Gansen","SDP","A",22,125,459,532,109,91,15,2,1,53,31,54,0,80,2,4,13,8,1,5,0.237472766,"sa875579"
2016,"Justin Ellison","ATL","A",21,121,433,476,107,70,25,8,4,49,54,37,3,88,0,4,2,10,18,8,0.247113163,"sa875581"
2017,"Justin Ellison","ATL","A",22,45,169,183,43,25,9,4,5,27,21,12,0,52,0,1,1,1,6,4,0.254437869,"sa875581"
2016,"Christian Kelley","PIT","A",22,77,259,294,61,47,12,0,2,26,28,25,1,55,4,2,4,5,0,5,0.235521235,"sa875583"
2016,"Chris Iriart","OAK","A",21,79,277,316,64,35,13,0,16,31,47,29,2,89,8,2,0,7,0,0,0.231046931,"sa875590"
2018,"Jimmy Barnes","LAA","A",21,27,76,93,9,6,1,0,2,6,13,12,0,41,2,3,0,0,1,1,0.118421052,"sa875596"
2016,"Jason Morozowski","ARI","A",22,61,219,252,47,35,6,3,3,27,12,27,0,65,3,2,1,4,6,4,0.214611872,"sa875605"
2016,"Mylz Jones","COL","A",22,124,511,552,138,103,22,5,8,64,49,22,1,106,6,3,10,2,28,14,0.270058708,"sa875606"
2016,"Zach Coppola","PHI","A",22,52,213,244,69,60,8,1,0,43,17,27,0,30,2,1,1,2,11,4,0.323943661,"sa875612"
2016,"Tyler Sullivan","CHW","A",23,130,510,589,130,102,21,5,2,65,40,59,2,91,7,4,9,5,31,11,0.25490196,"sa875623"
2017,"Tyler Sullivan","CHW","A",24,45,152,172,36,31,5,0,0,15,13,13,0,33,2,2,3,2,5,1,0.236842105,"sa875623"
2016,"Pat Porter","HOU","A",23,96,335,386,62,37,10,6,9,36,37,38,1,105,10,1,2,6,7,5,0.185074626,"sa875624"
2016,"Max McDowell","MIL","A",22,98,345,400,93,70,21,1,1,48,27,33,0,62,17,3,2,7,21,3,0.269565217,"sa875626"
2017,"Jerry Downs","BOS","A",23,34,117,136,32,19,9,1,3,16,17,11,0,33,7,1,0,4,1,0,0.273504273,"sa875630"
2016,"Brett Siddall","OAK","A",21,135,481,542,116,81,24,2,9,50,60,47,1,98,11,3,0,8,5,6,0.241164241,"sa875635"
2016,"Zach Nehrir","ARI","A",23,77,310,331,75,58,15,1,1,22,29,14,0,62,3,1,3,6,11,6,0.241935483,"sa875642"
2016,"Brad Zunica","SDP","A",20,110,401,435,97,61,22,0,14,48,61,25,0,156,6,3,0,7,0,0,0.241895261,"sa875647"
2017,"Brad Zunica","SDP","A",21,84,276,330,69,35,16,0,18,44,51,43,1,102,7,4,0,3,1,1,0.25,"sa875647"
