#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
51,Austin Riley,ATL,3042,7.80%,25.70%,0.3,0.272,0.338,0.502,0.84,0.23,2.9,0.324,-0.2,0.1,1.5,-4.4,468,103.6,0.357,124
52,Mitch Haniger,SEA,2314,8.90%,24.00%,0.37,0.263,0.337,0.48,0.817,0.217,4.3,0.307,-4.6,0.7,-2.2,-0.5,337,60.1,0.347,124
53,Matt Carpenter,STL,622,17.50%,20.10%,0.87,0.241,0.384,0.451,0.835,0.209,3.1,0.274,-0.8,1.7,-2.2,-0.5,97,20.9,0.361,124
54,Will Smith,LAD,2510,10.60%,18.50%,0.57,0.258,0.35,0.472,0.822,0.214,3.5,0.275,-6.6,3.3,-4.7,-1.8,376,76.2,0.351,124
55,Randy Arozarena,3 Tms,2650,9.90%,25.50%,0.39,0.254,0.346,0.436,0.782,0.182,5.6,0.318,-1.5,0.5,1.7,-1.6,374,59.2,0.341,124
56,Luke Voit,4 Tms,1838,10.20%,28.50%,0.36,0.254,0.342,0.476,0.818,0.222,1.9,0.314,-7.8,-2.4,-9.1,-1.6,275,53.3,0.35,124
57,David Fry,CLE,505,9.90%,22.60%,0.44,0.257,0.348,0.44,0.788,0.183,3.7,0.305,0.3,0.3,-1.2,-0.2,72,12,0.341,124
58,Kris Bryant,3 Tms,3005,11.20%,21.60%,0.52,0.272,0.369,0.478,0.847,0.206,4.1,0.32,10.9,4,8.6,-2.6,478,113,0.362,124
59,Mark Canha,OAK,1338,10.80%,22.80%,0.48,0.251,0.355,0.457,0.812,0.205,4.2,0.295,0.7,-0.1,2.1,-0.6,198,34,0.348,123
60,Wander Franco,TBR,1143,8.00%,12.20%,0.66,0.282,0.34,0.454,0.795,0.173,6.8,0.299,4.7,0.6,6.5,1.8,161,24.7,0.341,123
61,Justin Upton,2 Tms,1504,11.30%,28.90%,0.39,0.257,0.345,0.488,0.833,0.231,3.8,0.32,1.9,1.4,1.6,0.3,226,44.4,0.354,122
62,Jeff McNeil,NYM,2687,6.60%,11.40%,0.58,0.298,0.361,0.438,0.799,0.14,4.3,0.321,-1.3,5.3,-0.7,-1.2,393,68.1,0.346,122
63,Kyle Schwarber,4 Tms,4382,14.10%,28.50%,0.49,0.229,0.343,0.491,0.834,0.262,3.3,0.263,-6.3,6.2,-7.5,-5.9,663,137.4,0.354,122
64,Xander Bogaerts,2 Tms,4500,9.10%,17.80%,0.51,0.29,0.358,0.469,0.827,0.179,4.7,0.328,11.2,-0.8,13.1,5.7,684,142.1,0.354,122
65,Nathaniel Lowe,2 Tms,2821,11.10%,24.00%,0.46,0.272,0.356,0.433,0.789,0.162,3.5,0.339,-9.2,-1.7,-5.3,-2.4,405,68.3,0.344,122
66,Rhys Hoskins,2 Tms,3394,13.00%,24.70%,0.53,0.238,0.346,0.481,0.827,0.243,3,0.27,-6,3.2,-8.5,-2.7,514,108.2,0.353,122
67,Andrew McCutchen,3 Tms,1332,12.60%,19.60%,0.64,0.267,0.366,0.455,0.82,0.188,4.4,0.305,-4.1,1.8,-2,-1.7,199,39.6,0.353,121
68,Francisco Lindor,2 Tms,4994,8.80%,16.70%,0.53,0.267,0.338,0.481,0.82,0.214,5.5,0.282,6.3,2.8,2.4,10,733,133.3,0.348,121
69,Trea Turner,3 Tms,4599,7.00%,18.50%,0.38,0.293,0.347,0.476,0.824,0.183,6.9,0.335,17.8,0.1,26.1,28.1,692,140.4,0.352,121
70,Michael Conforto,2 Tms,3396,11.90%,23.70%,0.5,0.253,0.352,0.457,0.809,0.205,3.1,0.298,4.5,1.2,-1.1,-3.7,497,86.1,0.347,121
71,Adley Rutschman,BAL,1795,12.00%,16.20%,0.74,0.261,0.351,0.421,0.772,0.16,2.8,0.289,4.1,-0.2,-0.5,-2.9,247,34.8,0.337,121
72,Teoscar Hernández,4 Tms,3749,7.10%,29.70%,0.24,0.264,0.321,0.49,0.811,0.227,4.4,0.334,0.1,0.9,1.6,-2.2,540,90.8,0.345,121
73,Jesse Winker,5 Tms,2775,12.80%,18.40%,0.7,0.262,0.367,0.437,0.804,0.175,2.8,0.297,-16,-0.6,-12.3,-2.9,415,83.4,0.351,121
74,Bryan Reynolds,PIT,3346,9.20%,21.90%,0.42,0.276,0.352,0.47,0.821,0.193,4.8,0.328,2.2,1.1,0.7,-1.2,504,101.9,0.352,120
75,Yainer Diaz,HOU,1005,3.60%,18.20%,0.2,0.291,0.317,0.476,0.793,0.185,2.9,0.32,-3.7,-0.9,-1.9,-1.4,139,19.6,0.337,120
76,Corbin Carroll,ARI,1444,9.60%,19.80%,0.48,0.258,0.34,0.469,0.809,0.211,9,0.292,6.9,3.3,15.1,9.8,212,40.3,0.348,120
77,Ji Man Choi,3 Tms,1595,13.50%,26.00%,0.52,0.245,0.35,0.436,0.786,0.191,2.1,0.307,-4.5,3,-7,-1.8,224,31.3,0.339,120
78,Riley Greene,DET,1418,9.50%,27.50%,0.35,0.267,0.34,0.434,0.775,0.167,4.9,0.353,3.4,0.6,3.6,-2.4,195,27.9,0.337,120
79,Luis Arraez,3 Tms,2858,6.90%,6.80%,1.01,0.323,0.372,0.418,0.79,0.096,3.8,0.339,5.4,-1,2.3,-5.9,411,68.8,0.343,120
80,Brendan Donovan,STL,1491,9.40%,13.70%,0.69,0.28,0.364,0.407,0.771,0.126,3.4,0.311,2.2,0.7,-0.4,-4.1,209,34.2,0.34,119
81,Bo Bichette,TOR,2664,5.50%,20.60%,0.27,0.29,0.332,0.466,0.798,0.176,4.6,0.338,1.9,-3.2,1.1,0.6,380,61.7,0.342,119
82,Luke Raley,3 Tms,1005,6.40%,31.00%,0.21,0.238,0.319,0.448,0.768,0.211,5.9,0.311,2,1.2,1,1.3,135,15.2,0.332,119
83,Aaron Hicks,NYY,1534,14.80%,20.70%,0.71,0.242,0.357,0.446,0.803,0.204,4.4,0.269,8.3,3.7,3.5,-0.1,223,37.2,0.347,119
84,Michael Brantley,CLE,1006,7.90%,10.90%,0.72,0.305,0.362,0.459,0.821,0.154,4.7,0.321,3.7,-0.5,1.9,2.3,149,29.3,0.352,119
85,Mitch Garver,2 Tms,1285,10.70%,26.10%,0.41,0.248,0.334,0.479,0.813,0.231,3.2,0.293,-0.7,0.4,-2.2,-1.3,187,32.2,0.345,119
86,Willson Contreras,2 Tms,3071,9.90%,23.80%,0.42,0.255,0.35,0.458,0.808,0.203,3.4,0.304,-12.3,-4.8,-6.3,-5.3,451,81.2,0.348,119
87,Austin Meadows,3 Tms,1693,9.20%,21.40%,0.43,0.259,0.333,0.472,0.806,0.214,4.9,0.295,-7,5.7,-2.1,-2.1,241,34,0.34,119
88,Eric Thames,MIL,829,12.50%,31.40%,0.4,0.237,0.341,0.504,0.846,0.267,5.8,0.301,-2.5,1.8,-0.1,0.9,125,25.7,0.356,119
89,Buster Posey,SFG,1016,10.40%,11.70%,0.89,0.304,0.382,0.426,0.808,0.122,2.9,0.333,-3.2,-2.3,-3.8,-0.2,147,25.5,0.348,119
90,Matt Chapman,3 Tms,4235,10.50%,26.80%,0.39,0.241,0.329,0.462,0.79,0.22,4.2,0.295,13.2,6.8,11.5,-4.8,589,81.6,0.339,118
91,Cody Bellinger,2 Tms,4108,10.00%,21.10%,0.48,0.259,0.334,0.484,0.818,0.225,5.5,0.285,4.5,7.6,10.1,5,590,96.4,0.343,118
92,Khris Davis,OAK,1839,9.70%,28.10%,0.35,0.239,0.32,0.494,0.813,0.254,2.5,0.272,-4.2,-3.9,-6.8,-0.1,258,34.8,0.342,118
93,Marcell Ozuna,3 Tms,2838,8.90%,21.00%,0.42,0.27,0.336,0.477,0.813,0.206,3.1,0.302,0,-2.4,-1.1,-0.9,412,69.8,0.346,117
94,Wilyer Abreu,BOS,532,9.20%,27.80%,0.33,0.263,0.333,0.461,0.794,0.198,5,0.343,-0.8,0.6,1.4,-0.4,76,13.1,0.342,117
95,Jackson Chourio,MIL,573,6.80%,21.10%,0.32,0.275,0.327,0.464,0.791,0.189,6.1,0.32,0.7,0.4,3.4,0.5,80,13.1,0.339,117
96,Ian Happ,CHC,3786,12.00%,27.00%,0.44,0.248,0.343,0.451,0.794,0.204,4.5,0.312,4.4,0,2.9,-0.9,536,84,0.342,117
97,José Martínez,3 Tms,1368,9.20%,20.00%,0.46,0.287,0.354,0.446,0.8,0.159,2.9,0.337,1.5,-3.2,-3.9,-0.7,195,29.8,0.344,117
98,Steven Kwan,CLE,1896,9.80%,9.80%,0.99,0.285,0.359,0.396,0.755,0.111,6,0.307,4.6,1.1,9,1.5,254,29.9,0.333,117
99,Isaac Paredes,3 Tms,1786,11.00%,17.40%,0.63,0.232,0.333,0.422,0.755,0.19,1.8,0.245,-2.5,-0.4,-1.5,-3.4,237,25,0.331,117
100,Nick Castellanos,4 Tms,4063,6.30%,23.20%,0.27,0.28,0.33,0.493,0.823,0.213,4.1,0.332,-4.4,-0.8,-1.2,-3.4,596,105.1,0.348,117
101,Michael Harris II,ATL,1450,4.80%,20.80%,0.23,0.285,0.325,0.469,0.794,0.185,6.2,0.331,4.5,1.2,5.9,2.9,204,32.7,0.341,117
102,Yasmani Grandal,3 Tms,1826,13.70%,24.70%,0.56,0.243,0.349,0.46,0.809,0.217,2.8,0.286,-15.2,-1.7,-11.4,-1,266,42.6,0.346,116
103,Eugenio Suárez,2 Tms,4028,11.10%,28.00%,0.4,0.245,0.338,0.472,0.81,0.228,2.4,0.294,-14.4,-1,-12.1,-5.5,583,96.8,0.345,116
104,Byron Buxton,MIN,2406,6.80%,27.80%,0.25,0.249,0.31,0.491,0.801,0.241,7.1,0.301,13.3,8.9,15.4,10.7,334,44.2,0.339,116
105,Lars Nootbaar,STL,1379,13.60%,20.10%,0.68,0.246,0.348,0.425,0.774,0.18,5,0.282,3.2,1.4,4,0,190,26.6,0.337,116
106,Joc Pederson,4 Tms,2757,10.10%,21.90%,0.46,0.241,0.331,0.472,0.803,0.23,3.7,0.265,4.8,-1.2,3.1,-5.8,390,57,0.342,116
107,J.T. Realmuto,2 Tms,2997,7.30%,21.00%,0.35,0.273,0.337,0.471,0.808,0.197,5.5,0.316,16.9,3.7,14.6,5.3,429,68.1,0.344,116
108,Jordan Westburg,BAL,675,5.60%,22.70%,0.25,0.263,0.312,0.455,0.767,0.192,5.5,0.315,0.3,0.5,1.9,-0.7,89,8.7,0.329,116
109,Luis Robert Jr.,CHW,1944,5.60%,27.00%,0.21,0.267,0.316,0.474,0.79,0.207,5.2,0.329,3.6,2.3,-1.1,4.9,268,35.7,0.336,116
110,Tommy La Stella,3 Tms,892,9.40%,9.50%,0.99,0.284,0.358,0.441,0.8,0.157,2.5,0.289,-0.6,-1.3,1.2,-0.8,129,19.4,0.344,116
111,Tyler O'Neill,2 Tms,2109,9.00%,30.80%,0.29,0.246,0.322,0.469,0.792,0.223,5,0.312,5.7,0.1,2.2,2.8,294,42.6,0.339,115
112,Scooter Gennett,2 Tms,1274,5.80%,22.00%,0.26,0.295,0.339,0.487,0.826,0.193,3.8,0.345,-1.6,0.3,-4.2,-1,187,34.1,0.35,115
113,Alex Dickerson,2 Tms,672,7.70%,22.00%,0.35,0.262,0.329,0.479,0.807,0.217,4.3,0.3,-0.4,-1.4,0.6,-0.5,97,13.6,0.341,115
114,Garrett Cooper,2 Tms,1356,8.80%,26.00%,0.34,0.274,0.348,0.44,0.788,0.166,2.4,0.354,-7.6,-1.5,-3.8,-1.3,192,28.8,0.341,115
115,Carlos Santana,CLE,667,13.20%,14.10%,0.94,0.259,0.363,0.455,0.818,0.196,4,0.274,0.3,0.4,-0.5,0.1,98,16.5,0.35,115
116,Yonder Alonso,3 Tms,1095,10.90%,22.00%,0.49,0.257,0.34,0.458,0.798,0.201,1.9,0.291,-4.6,1.4,-6.5,-0.3,152,21.8,0.341,115
117,Lorenzo Cain,KCR,645,8.40%,15.50%,0.54,0.3,0.363,0.44,0.803,0.14,6.5,0.34,2.2,-2.6,3.4,3.9,93,14.1,0.347,115
118,David Peralta,ARI,1614,7.80%,18.90%,0.41,0.288,0.349,0.476,0.825,0.187,4.1,0.33,0.7,-0.6,2.3,-0.3,239,43.6,0.351,115
119,C.J. Cron,5 Tms,2031,7.70%,23.70%,0.33,0.258,0.331,0.487,0.818,0.229,2.3,0.294,-9.8,-0.6,-5,-1.9,295,48.8,0.346,114
120,Marcus Semien,3 Tms,3520,9.40%,18.00%,0.52,0.259,0.329,0.456,0.785,0.197,5.3,0.283,14.3,3.3,10.1,3.6,483,59.5,0.336,114
121,Lawrence Butler,OAK,580,6.70%,24.70%,0.27,0.25,0.3,0.456,0.756,0.206,5.7,0.291,-0.9,-0.3,0.9,2.7,74,5.3,0.324,114
122,Corey Dickerson,4 Tms,1651,5.30%,19.60%,0.27,0.288,0.327,0.486,0.814,0.198,4.5,0.33,-1.6,-1.5,5.1,-1,231,31,0.341,114
123,Vinnie Pasquantino,KCR,1112,9.00%,12.20%,0.74,0.267,0.335,0.445,0.78,0.178,2.2,0.272,-3.7,-0.6,-4.3,-1.4,152,21.3,0.336,114
124,Jesús Aguilar,3 Tms,1972,9.90%,22.90%,0.43,0.262,0.338,0.476,0.814,0.214,1.5,0.297,-6.5,-2.6,-8.3,-1.7,284,44.3,0.345,114
125,Austin Nola,2 Tms,645,8.50%,18.00%,0.47,0.271,0.345,0.435,0.78,0.164,2.6,0.308,2.1,-0.2,0.4,-0.7,89,9.1,0.335,114
126,Mike Yastrzemski,SFG,1726,10.10%,25.10%,0.4,0.242,0.326,0.465,0.791,0.223,4.8,0.288,4,6.1,4.4,-1.2,240,31.8,0.337,114
127,Josh Reddick,HOU,1027,9.00%,14.50%,0.62,0.28,0.342,0.444,0.785,0.164,4.8,0.302,2,1.1,5.5,0.1,138,15.3,0.336,114
128,DJ LeMahieu,2 Tms,2134,7.50%,13.30%,0.57,0.312,0.365,0.466,0.831,0.155,4.3,0.338,1.8,-5.4,-4.3,-2.5,327,66.5,0.355,114
129,Sean Murphy,2 Tms,1962,10.30%,23.20%,0.44,0.233,0.329,0.429,0.758,0.196,2.2,0.271,-1.1,-4.1,-3.9,-2.2,260,26.9,0.33,114
130,Jorge Soler,3 Tms,2708,10.90%,26.40%,0.41,0.239,0.33,0.477,0.807,0.238,1.9,0.277,-7.9,-4,-8.1,-2.7,388,59,0.343,113
131,Gleyber Torres,NYY,3673,9.10%,20.30%,0.45,0.265,0.334,0.441,0.774,0.176,3.5,0.301,-2,-1.8,-6.7,-3.8,496,56.1,0.333,113
132,Ty France,3 Tms,2819,6.50%,18.30%,0.35,0.263,0.337,0.407,0.744,0.144,2,0.303,-10.2,-7.6,-6.5,-4.8,365,27.5,0.326,113
133,LaMonte Wade Jr.,2 Tms,1665,12.70%,20.60%,0.62,0.246,0.351,0.411,0.762,0.165,3.8,0.286,-2,3.6,-2.7,-2.1,226,26.6,0.334,113
134,Joey Meneses,WSN,897,5.90%,20.30%,0.29,0.288,0.333,0.444,0.778,0.156,2.1,0.34,-2.1,-3.7,-5.1,-1.3,122,14.2,0.336,113
135,Wilmer Flores,3 Tms,2781,7.70%,13.80%,0.56,0.267,0.329,0.456,0.785,0.19,2,0.274,-11.7,-2.6,-13.2,-2.4,380,46.4,0.336,113
136,Jake Burger,2 Tms,1344,5.70%,27.50%,0.21,0.251,0.305,0.483,0.789,0.233,2.6,0.296,0.9,-0.5,1,-2.3,184,24.3,0.336,113
137,Wilson Ramos,3 Tms,1164,7.40%,15.90%,0.46,0.289,0.342,0.448,0.79,0.159,1.4,0.316,-12.6,-6.9,-9.2,-0.5,158,16.3,0.335,113
138,Anthony Santander,BAL,3115,7.30%,20.70%,0.35,0.246,0.307,0.469,0.776,0.223,2.7,0.263,1.5,4.2,-2.2,-4.3,412,39.7,0.33,113
139,Josh Bell,6 Tms,4474,11.20%,19.10%,0.58,0.258,0.343,0.448,0.79,0.19,2.5,0.287,-19,-5.4,-17.4,-9.3,622,84.4,0.338,113
140,Chris Taylor,LAD,2836,9.70%,28.80%,0.34,0.258,0.337,0.447,0.784,0.189,6.3,0.345,10.4,8,12.3,4.2,389,48.1,0.336,112
141,Jarren Duran,BOS,1432,6.70%,24.70%,0.27,0.272,0.326,0.457,0.782,0.185,8,0.346,0.1,2.6,11.6,6.7,197,27.4,0.336,112
142,Yasiel Puig,3 Tms,1625,8.90%,19.70%,0.45,0.265,0.334,0.478,0.811,0.212,4.8,0.29,-5.4,-4.2,-1.5,1.3,229,31.1,0.342,112
143,Ryan Mountcastle,BAL,2312,6.90%,24.50%,0.28,0.265,0.316,0.45,0.766,0.185,3.1,0.316,2.2,-1.7,2,-2.6,302,27.7,0.328,112
144,Domingo Santana,3 Tms,1433,10.90%,31.00%,0.35,0.26,0.345,0.454,0.799,0.194,3.9,0.353,2.3,0.3,-1,0.5,202,26.3,0.341,112
145,Eloy Jiménez,2 Tms,2126,6.50%,22.70%,0.29,0.269,0.318,0.462,0.78,0.193,1.9,0.309,0.5,-2.6,-5.3,-1.8,287,29.5,0.332,112
146,J.D. Davis,5 Tms,2142,9.80%,27.20%,0.36,0.257,0.34,0.425,0.764,0.167,2.7,0.332,-4.4,-5.1,-4.2,-1.9,287,27.7,0.331,112
147,Masataka Yoshida,BOS,1001,6.10%,13.30%,0.46,0.285,0.343,0.433,0.775,0.148,4.2,0.31,-4.1,-2.5,-4.4,0,139,18.6,0.338,112
148,Lourdes Gurriel Jr.,2 Tms,3009,5.60%,19.30%,0.29,0.279,0.324,0.461,0.784,0.181,3.6,0.315,-5.4,-1.9,-5,-4.5,411,50.3,0.335,112
149,Edouard Julien,MIN,709,13.70%,32.40%,0.42,0.235,0.343,0.399,0.742,0.164,4.4,0.334,0.7,0.3,-1.7,0.3,93,8.3,0.328,112
150,Josh Naylor,2 Tms,2259,7.70%,16.60%,0.46,0.262,0.323,0.444,0.767,0.181,3.1,0.282,-5.6,-2.3,-5.4,-0.7,294,24,0.327,112
151,Asdrúbal Cabrera,NYM,540,9.30%,15.40%,0.6,0.28,0.351,0.434,0.785,0.154,2.5,0.31,-6.2,-2.1,-5.8,-0.6,74,7.8,0.338,112
152,Taylor Ward,LAA,2170,9.40%,23.70%,0.4,0.252,0.33,0.428,0.758,0.175,3.8,0.302,2.3,1.8,-1.7,-3.2,286,29.3,0.33,111
153,Salvador Perez,KCR,1864,3.50%,21.90%,0.16,0.266,0.302,0.508,0.809,0.242,1.9,0.283,-5.8,-3.4,-11,-0.6,260,35.2,0.339,111
154,Cal Raleigh,SEA,1760,9.60%,28.90%,0.33,0.218,0.296,0.444,0.74,0.226,2.6,0.254,-3.3,2.3,-2.6,-1.4,215,6.3,0.318,111
155,Whit Merrifield,KCR,2337,6.30%,15.40%,0.41,0.297,0.345,0.452,0.797,0.155,6.5,0.332,5.8,0,6.1,7.6,326,40.9,0.34,111
156,Justin Bour,3 Tms,1100,12.50%,24.60%,0.51,0.243,0.338,0.45,0.788,0.207,2,0.28,-11.9,0,-8.6,-0.1,148,15.5,0.335,111
157,Josh Lowe,TBR,1088,7.30%,28.80%,0.25,0.262,0.316,0.434,0.749,0.172,6.8,0.348,1.8,2.6,1.2,8.9,136,6.7,0.321,110
158,Miguel Sanó,2 Tms,2124,11.10%,36.80%,0.3,0.227,0.316,0.472,0.788,0.245,2.8,0.311,-5,-0.9,-8,-1.6,289,30.5,0.334,110
159,Chas McCormick,HOU,1451,8.80%,27.50%,0.32,0.25,0.324,0.422,0.747,0.172,5,0.315,-2.3,2.9,-3,-0.5,186,13.7,0.325,110
160,Colton Cowser,BAL,638,10.20%,30.40%,0.34,0.229,0.317,0.414,0.731,0.186,5.3,0.301,0.9,-0.3,2.5,-0.8,79,3.7,0.319,110
161,Michael Busch,2 Tms,648,11.00%,29.20%,0.38,0.238,0.324,0.421,0.745,0.183,3.4,0.31,0.2,0.8,0,-1,83,6.8,0.324,110
162,Mike Moustakas,3 Tms,1980,7.80%,16.70%,0.47,0.257,0.32,0.496,0.816,0.239,2.5,0.257,-9.4,-1.3,-8.8,0.2,277,36.3,0.34,110
163,Wyatt Langford,TEX,557,9.20%,20.60%,0.44,0.253,0.325,0.415,0.74,0.162,6.4,0.296,,,2.8,1.5,70,4.9,0.321,110
164,Wil Myers,SDP,2486,9.80%,29.20%,0.34,0.252,0.327,0.451,0.779,0.199,4.8,0.327,6,-0.8,6.2,1.6,333,31.4,0.332,110
165,Frank Schwindel,3 Tms,566,6.20%,17.80%,0.35,0.269,0.314,0.456,0.771,0.188,2.8,0.295,-1.8,-1.1,-1.2,-0.5,75,8.2,0.329,110
166,Todd Frazier,2 Tms,576,14.40%,21.70%,0.66,0.213,0.344,0.428,0.772,0.215,3.1,0.226,-1.1,-0.1,-0.2,-0.8,77,6.6,0.335,109
167,Adam Eaton,WSN,1309,9.90%,16.80%,0.59,0.279,0.365,0.419,0.784,0.14,6.3,0.326,2.3,0.9,3.9,3,186,24.8,0.341,109
168,Willy Adames,2 Tms,3610,9.60%,27.20%,0.35,0.248,0.322,0.444,0.766,0.196,3.9,0.308,11.3,1.9,5.4,-2.8,475,41.7,0.329,109
169,Starling Marte,3 Tms,1781,5.20%,17.20%,0.3,0.283,0.335,0.454,0.79,0.171,7,0.317,5.5,-1,5.6,5.8,245,27.9,0.337,109
170,Patrick Wisdom,3 Tms,1299,9.40%,37.00%,0.25,0.214,0.298,0.468,0.766,0.254,3.9,0.281,0.8,1.2,0.6,-0.8,169,15.2,0.328,109
171,Alejandro Kirk,TOR,1563,10.20%,11.50%,0.89,0.264,0.344,0.391,0.735,0.127,0.8,0.278,-13.6,-5.4,-14.1,-2.5,197,12.9,0.323,109
172,Jorge Polanco,2 Tms,3708,8.90%,19.70%,0.45,0.261,0.329,0.435,0.765,0.175,4.2,0.297,6.7,8.1,5.7,-5.2,486,38.4,0.328,109
173,Brian Dozier,2 Tms,1337,11.10%,20.20%,0.55,0.244,0.334,0.447,0.781,0.203,5,0.271,2.7,-0.3,1.4,0.6,179,18.8,0.334,109
174,Christian Walker,ARI,2026,9.70%,23.10%,0.42,0.249,0.329,0.453,0.782,0.204,3.6,0.287,5.3,-0.3,-0.1,-0.8,277,32.6,0.335,109
175,Marwin Gonzalez,2 Tms,1729,8.70%,21.10%,0.41,0.264,0.335,0.436,0.771,0.172,2.9,0.309,-1.4,1.8,-4.1,-1.3,227,16.6,0.33,109
176,Ramón Urías,BAL,1465,7.50%,22.90%,0.33,0.262,0.328,0.408,0.736,0.146,3.4,0.322,1.9,0.3,1.6,-2.6,184,10.8,0.322,109
177,Daniel Vogelbach,5 Tms,1944,15.20%,25.00%,0.61,0.22,0.341,0.408,0.749,0.188,1,0.26,-12.4,-1.3,-12.2,-2.1,254,19.3,0.328,109
178,Logan Morrison,3 Tms,998,11.80%,23.90%,0.49,0.222,0.322,0.457,0.778,0.235,2.4,0.238,-0.4,0.3,-1.3,0,131,10.7,0.331,109
179,Franmil Reyes,4 Tms,2078,8.30%,30.60%,0.27,0.249,0.31,0.464,0.775,0.215,2.4,0.311,-8.8,-4.8,-8.1,-1.1,273,22.4,0.328,108
180,Ramón Laureano,3 Tms,2353,7.10%,27.30%,0.26,0.247,0.319,0.43,0.749,0.183,5.6,0.314,5.9,3.7,2.8,2.8,300,16.3,0.323,108
181,Joey Gallo,5 Tms,3250,14.70%,37.40%,0.39,0.195,0.321,0.46,0.781,0.265,4,0.252,8.4,11.4,2.6,-1.1,442,51.8,0.334,108
182,Ozzie Albies,ATL,3804,6.60%,16.90%,0.39,0.27,0.322,0.47,0.792,0.2,6.1,0.293,17.1,8,18.8,5,522,63.8,0.336,108
183,James Outman,LAD,739,11.60%,32.90%,0.35,0.231,0.337,0.408,0.745,0.177,5.7,0.323,3.6,2.3,3.1,0.4,96,7.1,0.328,108
184,Mark Vientos,NYM,728,6.60%,29.90%,0.22,0.243,0.297,0.454,0.751,0.211,2.2,0.298,-2.5,0.3,-2.5,-0.9,91,5,0.322,108
185,Steven Souza Jr.,3 Tms,920,12.60%,29.20%,0.43,0.23,0.336,0.427,0.763,0.197,5,0.3,2,1.1,-0.2,1.9,120,9.3,0.331,108
186,Gio Urshela,5 Tms,2082,6.00%,18.50%,0.32,0.284,0.328,0.436,0.764,0.152,3.1,0.326,-8.8,-9.4,-4.1,-1.8,272,20.2,0.327,108
187,Oneil Cruz,PIT,1009,8.50%,31.60%,0.27,0.25,0.315,0.449,0.764,0.199,6.2,0.336,0.2,1.1,5.9,3.6,132,14.4,0.328,108
188,Trey Mancini,3 Tms,3367,7.90%,23.50%,0.34,0.262,0.327,0.445,0.772,0.183,2.4,0.313,-2.9,-7.1,-6.7,-2.6,445,40.1,0.33,108
189,Eric Hosmer,2 Tms,2736,8.20%,19.60%,0.42,0.277,0.338,0.435,0.773,0.158,3.1,0.321,-6.4,-3.7,-5.6,-2.5,362,29.6,0.331,108
190,Jake Cronenworth,SDP,2697,9.30%,17.30%,0.54,0.247,0.329,0.411,0.74,0.163,5,0.279,7.2,4.9,7.9,-2.3,340,19.5,0.322,108
191,Nolan Jones,2 Tms,815,11.90%,30.40%,0.39,0.265,0.355,0.441,0.797,0.176,5.4,0.37,-0.2,2,0.8,0.1,118,20.5,0.344,108
192,Kolten Wong,2 Tms,2564,8.40%,15.80%,0.53,0.269,0.349,0.414,0.763,0.145,5.6,0.304,8.4,7.3,11,2.5,338,28.5,0.33,107
193,Heliot Ramos,SFG,600,7.20%,26.80%,0.27,0.254,0.308,0.439,0.748,0.185,4.2,0.315,0,-0.2,-0.5,-0.2,75,4.9,0.321,107
194,Ryan Noda,OAK,606,15.00%,34.20%,0.44,0.212,0.344,0.369,0.713,0.158,3.1,0.319,-0.1,1.3,0.6,-1.1,75,1.8,0.32,107
195,Cedric Mullins,BAL,2719,8.10%,19.80%,0.41,0.252,0.32,0.425,0.744,0.172,6.5,0.289,4.6,5.3,5,8.8,341,18.1,0.322,107
196,Jay Bruce,2 Tms,978,10.00%,21.90%,0.46,0.243,0.319,0.458,0.777,0.215,2.5,0.27,-2.2,2.1,-1.4,-1.6,127,9.6,0.33,107
197,Jonathan India,CIN,2228,10.50%,21.10%,0.5,0.253,0.352,0.412,0.764,0.159,4.9,0.301,0.6,-2.4,-0.3,0.3,307,42.4,0.336,107
198,Yoán Moncada,CHW,3122,9.80%,29.00%,0.34,0.254,0.332,0.425,0.757,0.171,4.6,0.343,4,9.1,4.2,-1.7,407,30.5,0.327,107
199,Brandon Belt,SFG,1523,13.00%,22.20%,0.59,0.242,0.345,0.425,0.77,0.184,4,0.288,-3.3,4.9,-4.8,-0.9,201,15.7,0.331,107
200,Jose Miranda,MIN,1064,5.20%,17.00%,0.3,0.266,0.315,0.414,0.729,0.148,2.6,0.301,-0.7,-4.8,-2.9,-2.1,129,5.1,0.318,107
201,Robbie Grossman,3 Tms,2266,13.50%,19.50%,0.69,0.248,0.354,0.393,0.746,0.145,4.6,0.294,-5.9,4,2.9,1.2,295,19.2,0.328,107
202,Welington Castillo,2 Tms,546,5.70%,26.20%,0.22,0.274,0.317,0.462,0.779,0.188,1.7,0.331,-1.7,-1.9,-3.1,-0.1,72,6,0.332,107
203,AJ Pollock,2 Tms,1268,7.00%,19.30%,0.36,0.263,0.324,0.475,0.799,0.212,6.7,0.291,3,2.2,3.4,3.2,174,20,0.337,106
204,Ryan Jeffers,MIN,1391,8.30%,27.00%,0.31,0.231,0.31,0.427,0.737,0.196,3.2,0.28,-2.4,-0.1,-2.6,-2,173,7.6,0.32,106
205,Tyler White,2 Tms,583,11.00%,24.50%,0.45,0.245,0.329,0.425,0.754,0.18,2.3,0.301,-1.4,1.4,-1.7,-1.2,74,2.9,0.325,106
