#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
295,Joey Ortiz,2 Tms,545,10.30%,20.60%,0.5,0.237,0.321,0.387,0.708,0.15,5.7,0.283,0.7,-0.3,1.1,-1.3,64,0,0.311,98
296,Ryan O'Hearn,2 Tms,1933,8.20%,22.70%,0.36,0.244,0.309,0.417,0.726,0.173,3.3,0.286,-5.7,1.9,-4.3,-1.9,227,-5.9,0.312,98
297,Shea Langeliers,OAK,1177,7.10%,29.00%,0.25,0.215,0.276,0.432,0.708,0.216,3.7,0.254,-1.7,-0.2,-1.2,-1.8,129,-11,0.302,98
298,Aledmys Díaz,3 Tms,1705,5.70%,15.20%,0.37,0.258,0.306,0.426,0.732,0.168,2.6,0.274,-5.5,-3.9,-4.1,-1.9,200,-3.7,0.313,98
299,Rowdy Tellez,3 Tms,2305,8.40%,22.50%,0.37,0.234,0.303,0.436,0.739,0.202,1.9,0.259,-8.6,-3.7,-10.1,-2.8,276,-0.2,0.314,98
300,Pavin Smith,ARI,1252,10.20%,20.50%,0.5,0.244,0.323,0.4,0.723,0.156,3.6,0.283,-2.7,0.6,-4.2,-0.9,151,2,0.316,98
301,Mitch Moreland,BOS,576,9.90%,20.80%,0.48,0.246,0.326,0.443,0.769,0.197,1.7,0.278,-1.1,-0.6,-0.2,-0.7,73,2.3,0.326,98
302,Tim Beckham,3 Tms,1305,6.40%,28.30%,0.23,0.253,0.306,0.431,0.737,0.178,3.3,0.324,0,-0.4,-0.6,-3.3,154,-3.8,0.315,98
303,Adam Frazier,4 Tms,3340,7.40%,12.90%,0.58,0.267,0.33,0.392,0.722,0.125,4.7,0.295,10,0.4,9.9,-6.4,397,-6.7,0.314,98
304,Alex Call,2 Tms,683,11.70%,18.60%,0.63,0.231,0.332,0.364,0.696,0.133,4.2,0.268,2.1,1.6,2.5,-2.9,79,-2.4,0.312,97
305,Alec Burleson,STL,995,6.30%,13.10%,0.48,0.256,0.307,0.402,0.709,0.146,3.5,0.268,-2.8,-1.3,-3.8,-1.2,114,-3.9,0.308,97
306,Nelson Velázquez,2 Tms,615,8.50%,28.80%,0.29,0.212,0.286,0.433,0.719,0.221,5.5,0.247,1.5,-1.2,2.8,-0.2,71,-1.1,0.31,97
307,Connor Joe,3 Tms,1582,11.10%,21.70%,0.51,0.242,0.337,0.391,0.728,0.149,4,0.297,2.4,1.4,1.7,-3.9,198,11.2,0.322,97
308,Colt Keith,DET,556,6.50%,19.80%,0.33,0.26,0.309,0.38,0.689,0.12,4.5,0.306,-0.3,0.3,0.3,-0.1,61,-4.2,0.301,97
309,Evan Longoria,TBR,677,6.80%,16.10%,0.42,0.261,0.313,0.424,0.737,0.163,3.8,0.282,1.4,-0.4,1,0.4,78,-4.8,0.312,97
310,Dominic Smith,4 Tms,2266,7.50%,22.10%,0.34,0.246,0.313,0.403,0.717,0.157,2.4,0.294,-5.6,0.5,-7.6,-3.8,265,-9.1,0.311,96
311,Ben Gamel,5 Tms,2164,10.10%,24.50%,0.41,0.254,0.333,0.386,0.719,0.132,4.4,0.33,5.1,1.9,3.8,-3.7,256,-4.7,0.314,96
312,Richie Palacios,3 Tms,541,11.10%,18.10%,0.61,0.232,0.327,0.35,0.676,0.117,5.6,0.27,-0.1,0.3,0.6,3.2,59,-4.6,0.301,96
313,Willi Castro,2 Tms,2136,6.40%,24.00%,0.27,0.248,0.313,0.388,0.701,0.14,6.6,0.313,4.3,2.3,6.7,0.2,241,-13.4,0.306,96
314,Daulton Varsho,2 Tms,2116,8.60%,24.40%,0.35,0.225,0.297,0.414,0.711,0.189,6.2,0.265,8.2,3.4,8.9,1.1,241,-9.9,0.308,96
315,Edmundo Sosa,2 Tms,1103,4.10%,23.20%,0.18,0.253,0.311,0.402,0.714,0.149,6.8,0.315,3.9,-2.1,5.1,-0.3,129,-2.8,0.31,96
316,Randal Grichuk,4 Tms,3317,5.50%,24.20%,0.23,0.248,0.295,0.456,0.751,0.208,3.8,0.288,-2.7,-4.4,3.4,-3,405,4.3,0.318,96
317,Chad Pinder,OAK,1685,5.90%,27.40%,0.22,0.242,0.294,0.419,0.713,0.177,2.9,0.303,-2.4,-2.2,-3.4,-1.7,188,-14.5,0.306,96
318,Dansby Swanson,2 Tms,4473,8.90%,24.20%,0.37,0.25,0.319,0.412,0.732,0.162,5,0.307,16.1,8.1,19.2,1.3,532,-4.4,0.315,96
319,Rafael Ortega,3 Tms,940,9.80%,20.10%,0.49,0.253,0.328,0.376,0.704,0.122,4.8,0.303,-2.2,-1.4,-1.4,-0.6,108,-3.4,0.309,96
320,Tom Murphy,2 Tms,770,9.40%,32.70%,0.29,0.231,0.305,0.421,0.726,0.189,2.6,0.312,0,0.8,0.6,-0.5,90,-4,0.31,96
321,Jack Suwinski,PIT,1183,12.10%,30.90%,0.39,0.207,0.309,0.409,0.718,0.202,4.4,0.258,1.2,3.1,1.8,1.4,139,-0.7,0.313,96
322,Javier Báez,3 Tms,3922,4.70%,27.20%,0.17,0.253,0.294,0.446,0.74,0.193,6.1,0.312,12.6,0.4,15,4.1,460,-11.8,0.312,95
323,Trent Grisham,3 Tms,2250,11.50%,26.30%,0.44,0.213,0.313,0.384,0.697,0.17,5.4,0.267,6.3,2.6,4.9,2.3,255,-15.5,0.306,95
324,Brock Holt,BOS,826,10.20%,19.90%,0.51,0.269,0.354,0.375,0.729,0.106,4,0.332,-6.6,0.2,-3.9,-1.8,101,1.5,0.32,95
325,Jake Lamb,6 Tms,1479,12.60%,26.10%,0.48,0.223,0.33,0.414,0.744,0.191,3.8,0.272,2.8,-0.6,0.5,-2.7,182,2.5,0.32,95
326,Spencer Torkelson,DET,1469,9.30%,25.50%,0.37,0.221,0.3,0.392,0.693,0.171,2.8,0.269,0.1,-1.6,-0.9,-1.9,161,-12.7,0.303,95
327,Freddy Fermin,KCR,610,5.90%,19.50%,0.3,0.272,0.316,0.398,0.714,0.126,2.7,0.317,0.1,-1.1,0.1,-1.2,71,-1.7,0.31,95
328,Jason Heyward,CHC,2093,9.90%,16.30%,0.61,0.252,0.331,0.399,0.731,0.147,4.6,0.282,8.2,2.3,5.8,-1.2,253,-2.7,0.316,95
