#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
20,Vladimir Guerrero Jr.,TOR,A,18-18,318,12.60%,10.70%,1.18,0.316,0.409,0.48,0.888,0.164,4.8,0.336,0.4,57,19.2,0.401,151
21,Jared Young,CHC,A,22-22,293,6.80%,16.00%,0.43,0.313,0.368,0.525,0.893,0.212,5.2,0.341,0.1,51,16.8,0.399,150
22,Blaise Salter,DET,A,24-24,289,5.90%,16.30%,0.36,0.33,0.377,0.51,0.887,0.18,3.3,0.376,0.4,50,16.3,0.396,148
23,Nolan Jones,CLE,A,20-20,389,16.20%,24.90%,0.65,0.279,0.393,0.464,0.858,0.186,1.9,0.347,-0.1,66,21,0.395,147
24,Dominic Fletcher,ARI,A,21-21,239,9.20%,20.90%,0.44,0.318,0.389,0.463,0.852,0.145,3.3,0.396,-0.3,41,13,0.395,147
25,Troy Sieber,HOU,A,22-22,230,16.10%,20.40%,0.79,0.289,0.404,0.458,0.862,0.168,1.8,0.348,-0.4,40,12.5,0.393,146
26,Jake Meyers,HOU,A,22-22,257,8.90%,16.70%,0.53,0.302,0.383,0.476,0.858,0.173,6.6,0.354,-0.3,43,13.5,0.393,146
27,Jack Larsen,SEA,A,23-23,365,14.80%,29.30%,0.5,0.266,0.384,0.472,0.856,0.207,4.8,0.369,-1.3,61,18.6,0.391,144
28,Mike Brosseau,TBR,A,23-23,344,7.60%,14.00%,0.54,0.318,0.393,0.46,0.853,0.142,4.4,0.361,-1.9,58,17.9,0.39,144
29,Keegan McGovern,SEA,A,22-22,271,10.30%,24.40%,0.42,0.268,0.351,0.523,0.874,0.255,3.4,0.308,-0.3,45,13.6,0.39,144
30,Vimael Machín,CHC,A,23-23,305,7.90%,10.80%,0.73,0.32,0.371,0.5,0.871,0.18,4.2,0.332,0,52,15.7,0.389,144
31,Ernie De La Trinidad,ARI,A,22-22,379,11.90%,12.70%,0.94,0.311,0.403,0.442,0.845,0.131,3.9,0.336,-1.8,62,18.8,0.389,143
32,Jerar Encarnacion,MIA,A,21-21,281,8.20%,24.60%,0.33,0.298,0.363,0.478,0.841,0.18,2.9,0.375,0.1,46,13.9,0.388,143
33,Brad Zunica,SDP,A,21-21,330,13.00%,30.90%,0.42,0.25,0.361,0.504,0.864,0.254,1.9,0.319,-0.2,55,16.2,0.386,142
