#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
300,Ernie Clement,CLE,A,22-22,247,9.30%,8.50%,1.1,0.267,0.337,0.353,0.69,0.086,5.6,0.29,-0.3,28,-0.3,0.322,99
301,John Sansone,CIN,A,23-24,682,9.10%,28.00%,0.32,0.227,0.316,0.381,0.697,0.154,4.8,0.299,0.7,79,-1,0.321,99
302,Michael Siani,CIN,A,19-19,531,8.70%,20.50%,0.42,0.253,0.333,0.339,0.672,0.086,8,0.318,2.7,61,-0.1,0.321,100
303,Gavin Lux,LAD,A,19-19,501,11.20%,17.60%,0.64,0.244,0.331,0.362,0.693,0.118,7.7,0.288,1.3,58,-0.7,0.321,99
304,Trace Loehr,OAK,A,22-23,681,6.80%,16.20%,0.42,0.275,0.325,0.376,0.7,0.101,6.8,0.323,0,78,-1.2,0.321,99
305,G.K. Young,SDP,A,22-22,355,8.20%,29.30%,0.28,0.241,0.304,0.401,0.705,0.16,3.7,0.319,0.2,41,-0.5,0.321,99
306,Torii Hunter Jr.,LAA,A,23-23,433,10.20%,24.50%,0.42,0.255,0.335,0.349,0.684,0.094,8,0.343,2.2,49,-1,0.32,98
307,Morgan Lofstrom,CIN,A,21-23,273,4.40%,35.20%,0.13,0.259,0.306,0.382,0.689,0.124,3.3,0.403,-0.1,31,-0.3,0.32,99
308,Hosea Nelson,CLE,A,22-22,276,11.60%,34.10%,0.34,0.206,0.3,0.382,0.683,0.176,6.6,0.297,-1.3,32,-0.2,0.32,99
309,Nick Ward,OAK,A,23-23,343,11.70%,26.50%,0.44,0.232,0.334,0.328,0.662,0.096,5.5,0.32,0.7,39,-0.3,0.32,99
310,J.B. Woodman,TOR,A,22-22,414,9.70%,37.90%,0.25,0.24,0.32,0.378,0.699,0.138,6.1,0.394,-0.1,48,-1,0.32,98
311,Jhonny Bethencourt,CHC,A,21-21,279,6.10%,20.80%,0.29,0.274,0.318,0.381,0.698,0.107,6.8,0.345,0.1,31,-0.9,0.319,97
312,DJ Jenkins,LAA,A,23-23,208,8.20%,20.70%,0.4,0.288,0.358,0.315,0.673,0.027,5.1,0.376,1,24,-0.5,0.319,98
313,Mitchell Kranson,MIN,A,23-23,236,5.90%,17.40%,0.34,0.268,0.318,0.386,0.704,0.118,2.1,0.318,0,27,-0.7,0.319,97
314,Logan Ice,CLE,A,22-22,367,11.40%,20.20%,0.57,0.228,0.32,0.37,0.69,0.142,2.5,0.258,-0.2,42,-1.1,0.319,97
315,Luke Persico,OAK,A,21-21,502,9.20%,15.90%,0.58,0.26,0.327,0.368,0.695,0.108,5,0.302,-0.3,58,-1.6,0.319,97
316,Connor Scott,MIA,A,19-19,413,7.50%,22.00%,0.34,0.251,0.311,0.368,0.679,0.116,7.1,0.322,0.4,47,-0.9,0.318,98
317,Sam McDonnell,LAA,A,21-21,419,10.50%,20.00%,0.52,0.247,0.329,0.358,0.687,0.111,5.2,0.301,-0.1,48,-1.5,0.318,97
318,Yeltsin Gudino,TOR,A,20-21,621,8.10%,11.10%,0.72,0.274,0.346,0.331,0.677,0.057,3.7,0.307,-0.3,70,-2.4,0.318,97
319,Emmanuel Tapia,CLE,A,21-21,505,6.90%,35.60%,0.19,0.213,0.271,0.445,0.716,0.232,1.8,0.268,0.2,57,-2,0.318,97
320,Gabriel Garcia,MIL,A,20-21,719,12.20%,28.10%,0.44,0.2,0.319,0.344,0.663,0.144,4.2,0.269,-1.9,80,-3.1,0.317,96
321,Zach Clark,MIL,A,21-22,535,9.00%,39.10%,0.23,0.233,0.308,0.381,0.688,0.148,6.9,0.385,-1.2,59,-2.7,0.317,96
322,Cody Thomas,LAD,A,22-22,512,8.40%,29.30%,0.29,0.222,0.293,0.409,0.702,0.187,4.6,0.279,-1.7,58,-2.3,0.317,96
323,Tyler Payne,CHC,A,24-25,259,8.10%,18.90%,0.43,0.252,0.314,0.376,0.69,0.124,2,0.293,0,29,-1.2,0.317,96
324,Jonathan Lacroix,HOU,A,21-22,552,8.50%,26.60%,0.32,0.24,0.317,0.36,0.678,0.12,5.7,0.327,-2,61,-2.4,0.317,96
325,Anfernee Grier,ARI,A,21-21,547,10.60%,20.80%,0.51,0.251,0.34,0.331,0.671,0.08,6.3,0.319,1.5,62,-2.7,0.316,96
326,Luke Wakamatsu,CLE,A,20-20,419,7.60%,23.90%,0.32,0.239,0.301,0.395,0.697,0.156,5.2,0.289,-0.5,47,-2.1,0.316,96
327,Jonathan Laureano,CLE,A,22-22,357,5.90%,24.10%,0.24,0.245,0.301,0.383,0.685,0.138,2.3,0.305,-1.1,39,-2.1,0.316,95
328,Grant Little,SDP,A,21-21,290,10.00%,15.20%,0.66,0.256,0.338,0.315,0.653,0.059,4.1,0.308,1.1,32,-1.2,0.316,96
329,Andrew Bechtold,MIN,A,22-23,669,13.60%,27.50%,0.49,0.228,0.334,0.322,0.656,0.095,4.3,0.32,1,73,-3.9,0.315,95
330,Ryan Gold,TOR,A,20-21,633,5.80%,21.00%,0.28,0.248,0.304,0.375,0.679,0.127,4.7,0.304,0.2,70,-3.3,0.315,96
331,Danny Hudzina,STL,A,23-23,295,7.50%,18.00%,0.42,0.252,0.31,0.385,0.695,0.133,1.8,0.286,-0.2,33,-1.7,0.315,95
332,Reggie Pruitt,TOR,A,21-22,730,10.00%,27.90%,0.36,0.244,0.328,0.336,0.664,0.093,9,0.347,6.2,80,-4.2,0.315,95
333,Colby Bortles,DET,A,23-23,461,9.30%,26.20%,0.36,0.246,0.323,0.349,0.672,0.103,2.5,0.332,-1.1,50,-3.1,0.315,94
334,Spencer Griffin,LAA,A,21-22,841,11.80%,31.90%,0.37,0.231,0.327,0.334,0.661,0.103,6.8,0.347,-0.1,92,-5.1,0.315,95
335,Kevin Vicuña,TOR,A,19-20,449,4.50%,15.40%,0.29,0.275,0.317,0.363,0.68,0.088,6.9,0.325,-1.6,49,-3.1,0.314,94
336,Adam Walton,ARI,A,23-23,266,6.40%,22.60%,0.28,0.266,0.321,0.361,0.681,0.094,4.6,0.344,0.4,30,-1.8,0.314,94
337,Shard Munroe,CIN,A,22-23,290,14.80%,24.80%,0.6,0.195,0.318,0.344,0.663,0.149,7.1,0.247,-0.3,32,-1.8,0.314,95
338,Anthony Churlin,OAK,A,21-22,439,8.70%,26.40%,0.33,0.248,0.325,0.336,0.661,0.088,3.8,0.339,-1.4,48,-2.5,0.314,95
339,K.J. Harrison,MIL,A,21-21,466,8.40%,31.50%,0.27,0.228,0.298,0.384,0.682,0.156,2.1,0.316,-0.5,50,-3.4,0.314,94
340,Rafael Lantigua,TOR,A,21-21,364,6.30%,15.90%,0.4,0.254,0.302,0.373,0.675,0.119,5.7,0.292,-1.6,40,-2,0.314,95
341,Alexis Wilson,STL,A,21-22,226,7.50%,18.10%,0.41,0.25,0.314,0.348,0.662,0.098,1.5,0.292,-0.3,25,-1.4,0.313,95
342,Delvin Pérez,STL,A,20-20,506,5.30%,23.10%,0.23,0.269,0.329,0.325,0.654,0.057,6.3,0.359,0.6,55,-2.9,0.313,95
343,Andy Sugilio,CIN,A,21-21,387,4.40%,15.80%,0.28,0.278,0.308,0.38,0.688,0.102,5.3,0.318,-0.5,42,-3,0.313,93
344,Freudis Nova,HOU,A,19-19,299,5.00%,22.70%,0.22,0.259,0.301,0.369,0.67,0.11,5.1,0.332,-0.9,33,-1.8,0.313,95
345,Brandon Grudzielanek,TOR,A,23-23,366,9.60%,23.00%,0.42,0.245,0.322,0.354,0.676,0.109,6.3,0.311,0.9,39,-2.9,0.313,93
346,Carlos Rincon,LAD,A,19-20,708,10.30%,33.10%,0.31,0.211,0.299,0.383,0.682,0.172,4.6,0.288,1.3,77,-5.5,0.313,93
347,Korry Howell,MIL,A,20-20,335,11.00%,28.10%,0.39,0.235,0.329,0.317,0.647,0.082,6.4,0.34,0.4,37,-2,0.313,95
348,Julio E. Rodriguez,STL,A,21-21,306,4.20%,19.60%,0.22,0.258,0.288,0.405,0.693,0.148,2.2,0.298,-0.1,33,-2.5,0.313,93
349,Tucupita Marcano,SDP,A,19-19,504,6.90%,8.90%,0.78,0.27,0.323,0.337,0.66,0.067,4.6,0.293,-3.7,55,-3.1,0.313,95
350,Agustin Ruiz,SDP,A,18-19,527,10.10%,25.00%,0.4,0.24,0.321,0.338,0.66,0.098,3.3,0.32,-0.2,57,-3.4,0.313,94
351,Yojhan Quevedo,SEA,A,23-23,417,2.90%,12.20%,0.24,0.273,0.3,0.391,0.691,0.119,3.7,0.295,0.6,46,-3.3,0.312,93
352,Alex McKenna,HOU,A,20-21,317,7.30%,29.30%,0.25,0.255,0.325,0.329,0.654,0.073,4.2,0.366,-2.4,34,-2.2,0.312,94
353,Dimas Ojeda,SEA,A,21-22,805,6.50%,22.70%,0.28,0.26,0.31,0.369,0.68,0.109,2.5,0.33,-0.8,87,-6.9,0.312,93
354,Lee Solomon,SDP,A,22-22,362,10.50%,22.90%,0.46,0.223,0.321,0.329,0.65,0.106,3,0.292,-1.1,39,-2.5,0.312,94
355,Nelson Velázquez,CHC,A,19-20,405,6.90%,29.60%,0.23,0.257,0.309,0.356,0.665,0.099,5.6,0.367,0.3,44,-3.2,0.312,93
356,Cole Peterson,DET,A,22-22,284,6.30%,13.00%,0.49,0.277,0.326,0.346,0.672,0.069,7.6,0.32,-0.3,30,-2.7,0.311,92
357,Juan Fernandez,SDP,A,19-20,459,8.10%,17.40%,0.46,0.246,0.319,0.338,0.657,0.092,3.1,0.295,-1.4,49,-4.1,0.311,92
358,Reynaldo Rivera,DET,A,21-22,675,8.30%,28.30%,0.29,0.234,0.298,0.376,0.674,0.142,4.5,0.314,0.2,72,-6,0.311,92
359,Danny Woodrow,DET,A,22-22,541,9.40%,17.20%,0.55,0.271,0.341,0.324,0.665,0.053,6.8,0.332,1.7,59,-4.9,0.311,92
360,Alfredo Angarita,HOU,A,21-21,271,10.30%,16.20%,0.64,0.247,0.332,0.323,0.655,0.077,4.2,0.297,-2.3,29,-2.6,0.311,92
361,Keshawn Lynch,ARI,A,22-22,293,15.00%,27.60%,0.54,0.224,0.352,0.27,0.622,0.046,3.3,0.331,-0.9,32,-2.2,0.311,93
362,Leonel Valera,LAD,A,19-19,504,9.70%,27.20%,0.36,0.241,0.321,0.325,0.647,0.085,7.7,0.334,2.8,54,-4,0.311,93
363,Michael Papierski,HOU,A,22-22,369,17.30%,18.70%,0.93,0.185,0.344,0.276,0.62,0.091,3.4,0.224,0.3,39,-3.9,0.31,91
364,Cole Bauml,DET,A,24-25,555,8.50%,18.20%,0.47,0.266,0.332,0.334,0.666,0.068,4.9,0.329,0.1,60,-5.6,0.31,91
365,Demi Orimoloye,MIL,A,20-21,763,8.10%,25.00%,0.32,0.229,0.301,0.372,0.673,0.144,7.7,0.291,4,81,-8.1,0.31,91
366,Logan Farrar,OAK,A,23-24,763,10.40%,22.50%,0.46,0.23,0.318,0.341,0.659,0.111,4.3,0.285,-0.1,80,-7.7,0.309,91
367,Tim Millard,LAA,A,23-24,248,12.90%,24.60%,0.52,0.22,0.335,0.301,0.636,0.081,2.8,0.288,0.3,26,-2.6,0.309,91
368,Michael Reed,SDP,A,22-22,347,6.60%,28.00%,0.24,0.234,0.29,0.396,0.685,0.161,7.6,0.315,-0.9,37,-4,0.308,90
369,Shane Carrier,MIN,A,21-22,355,4.80%,25.60%,0.19,0.236,0.279,0.402,0.681,0.166,2.7,0.286,0,37,-4.2,0.308,90
370,Josh Rolette,CLE,A,22-23,442,12.90%,26.90%,0.48,0.215,0.322,0.323,0.645,0.108,2,0.294,-0.3,46,-4.8,0.308,91
371,Eugene Helder,SEA,A,22-22,418,8.10%,15.30%,0.53,0.24,0.305,0.357,0.663,0.117,5,0.269,0.7,43,-5.2,0.307,89
372,Jesse Berardi,CLE,A,22-23,545,7.00%,17.10%,0.41,0.252,0.307,0.352,0.659,0.101,4.7,0.295,-0.2,56,-6.4,0.307,90
373,Brandon Montgomery,LAD,A,21-22,400,5.00%,23.50%,0.21,0.254,0.291,0.382,0.673,0.128,6.3,0.313,0.7,41,-5.1,0.307,89
374,Yeltsin Encarnacion,MIN,A,21-21,295,8.50%,19.00%,0.45,0.254,0.32,0.322,0.642,0.068,5,0.311,-2.2,31,-3.4,0.306,90
375,Cobie Fletcher-Vance,OAK,A,21-21,345,11.30%,17.10%,0.66,0.232,0.328,0.304,0.631,0.072,3.6,0.279,0.3,36,-4,0.306,90
376,Jacob Pearson,MIN,A,20-21,637,9.70%,20.70%,0.47,0.228,0.305,0.345,0.65,0.117,5.8,0.276,-0.6,66,-7.9,0.306,89
377,Jordan Devencenzi,OAK,A,25-25,318,6.60%,12.60%,0.53,0.266,0.325,0.33,0.655,0.064,2.7,0.301,-0.9,32,-4.4,0.306,88
378,Alex Holderbach,HOU,A,22-22,240,7.90%,28.70%,0.28,0.242,0.3,0.347,0.647,0.105,2,0.322,-0.3,25,-2.8,0.305,90
379,Tim Susnara,ARI,A,22-23,370,11.90%,24.30%,0.49,0.226,0.322,0.32,0.642,0.094,2,0.298,-0.7,38,-5,0.305,88
380,Jose Herrera,ARI,A,20-22,569,10.20%,15.10%,0.67,0.236,0.311,0.341,0.652,0.105,2.3,0.27,-0.1,58,-7.9,0.305,88
381,Yeiler Peguero,CHC,A,19-20,546,10.10%,18.50%,0.54,0.238,0.318,0.338,0.655,0.099,6.2,0.294,-1.1,56,-7.7,0.305,88
382,Austin Dennis,HOU,A,22-22,444,8.60%,17.60%,0.49,0.24,0.313,0.326,0.639,0.086,7.6,0.288,1.6,46,-5.5,0.305,89
383,Grae Kessinger,HOU,A,21-21,201,12.90%,15.90%,0.81,0.224,0.333,0.294,0.627,0.071,4.8,0.261,0.7,21,-2.6,0.304,89
384,Kevin Williams Jr.,LAA,A,22-22,381,7.30%,29.10%,0.25,0.245,0.304,0.349,0.653,0.104,3.3,0.348,-1.1,38,-5.7,0.304,87
385,Jose Cuas,MIL,A,23-23,203,10.30%,26.60%,0.39,0.195,0.307,0.339,0.646,0.144,6.8,0.265,-0.2,21,-3,0.304,87
386,Mario Feliciano,MIL,A,18-18,446,7.60%,16.10%,0.47,0.251,0.32,0.331,0.651,0.08,5.1,0.297,1.2,46,-6.6,0.304,87
387,Je'Von Ward,MIL,A,19-19,423,11.10%,25.30%,0.44,0.225,0.311,0.322,0.633,0.097,5.3,0.309,-1.2,43,-5.7,0.303,88
388,Taylor Jones,HOU,A,23-23,202,8.40%,24.80%,0.34,0.218,0.303,0.351,0.654,0.132,1.8,0.268,0,21,-3.1,0.303,87
389,Jair Camargo,LAD,A,19-19,316,6.60%,28.80%,0.23,0.236,0.301,0.342,0.642,0.106,4,0.326,-0.3,32,-4.4,0.302,88
390,Drew Longley,DET,A,28-28,239,8.40%,32.20%,0.26,0.227,0.297,0.361,0.658,0.134,4.2,0.341,0,24,-3.8,0.302,86
391,Rayder Ascanio,STL,A,21-22,432,8.30%,18.50%,0.45,0.236,0.304,0.345,0.648,0.109,3.9,0.273,-1.3,43,-7,0.302,86
392,Mariel Bautista,CIN,A,21-21,433,6.50%,20.30%,0.32,0.233,0.303,0.332,0.635,0.098,5.4,0.278,-0.8,44,-6.4,0.301,87
393,Bren Spillane,CIN,A,22-22,243,11.50%,42.80%,0.27,0.207,0.302,0.324,0.626,0.117,4.2,0.375,0.1,24,-3.6,0.301,87
394,Mark Kolozsvary,CIN,A,22-22,310,7.70%,24.50%,0.32,0.225,0.31,0.324,0.633,0.098,4.1,0.299,0.5,30,-5.5,0.301,85
395,Romer Cuadrado,LAD,A,20-21,870,8.60%,28.30%,0.3,0.229,0.301,0.336,0.638,0.107,4.1,0.316,-0.9,85,-15,0.3,85
396,Anthony Pereira,DET,A,20-21,686,8.20%,16.90%,0.48,0.238,0.304,0.344,0.648,0.105,3.6,0.28,0.5,68,-12,0.3,85
397,David Hensley,HOU,A,22-23,586,9.60%,25.80%,0.37,0.225,0.297,0.344,0.641,0.118,5.3,0.293,-1.6,58,-9.8,0.3,85
398,Jordan Pearce,DET,A,22-23,682,12.90%,19.90%,0.65,0.219,0.323,0.302,0.625,0.083,2.3,0.269,-0.2,67,-11.9,0.3,85
399,Brandon Riley,STL,A,21-22,494,11.30%,22.30%,0.51,0.231,0.318,0.3,0.618,0.069,5.1,0.306,0.6,49,-8.2,0.299,86
400,Yan Sanchez,ARI,A,20-21,640,6.40%,19.40%,0.33,0.258,0.307,0.338,0.645,0.079,4.5,0.318,-3.2,62,-12.2,0.299,84
401,Zachery Almond,ARI,A,23-23,368,11.70%,25.30%,0.46,0.217,0.308,0.319,0.627,0.102,2.8,0.281,0.1,36,-6.2,0.299,85
402,Brandon Lopez,MIN,A,23-23,200,5.50%,16.00%,0.34,0.276,0.322,0.319,0.641,0.043,4.8,0.331,0.2,20,-3.8,0.298,84
403,Miguel Jerez,CLE,A,21-21,306,10.80%,31.40%,0.34,0.176,0.288,0.332,0.62,0.156,2.4,0.228,0.1,30,-5.2,0.298,85
404,Harrison Wenson,LAA,A,23-24,529,13.40%,41.80%,0.32,0.158,0.29,0.328,0.618,0.17,3.7,0.255,0.7,51,-10,0.298,84
405,J.R. Davis,STL,A,22-23,644,3.30%,15.20%,0.21,0.259,0.289,0.364,0.653,0.104,4.7,0.296,0.5,63,-12.4,0.298,84
406,Hunter Steinmetz,TOR,A,22-22,275,10.90%,22.20%,0.49,0.216,0.311,0.305,0.616,0.089,7.2,0.278,1.1,27,-4.7,0.298,85
407,Justin Lopez,SDP,A,18-19,748,6.30%,26.60%,0.24,0.226,0.279,0.364,0.643,0.138,3.5,0.289,-0.6,73,-13.5,0.298,84
408,Eleardo Cabrera,TBR,A,21-22,616,7.60%,24.70%,0.31,0.234,0.314,0.32,0.633,0.086,5,0.313,-1.2,60,-11.9,0.298,83
409,Alvaro Rubalcaba,LAA,A,23-24,353,15.90%,24.10%,0.66,0.177,0.324,0.274,0.598,0.097,2.9,0.235,-1.5,34,-6.4,0.298,84
410,Miguelangel Sierra,HOU,A,20-20,419,6.20%,34.10%,0.18,0.23,0.278,0.371,0.648,0.141,3.5,0.332,-1.1,40,-8.3,0.298,83
411,Jhonny Pereda,CHC,A,21-21,359,10.30%,16.70%,0.62,0.249,0.335,0.29,0.625,0.041,2,0.307,-0.8,35,-7,0.298,83
412,Wenceel Pérez,DET,A,18-19,587,8.00%,16.20%,0.49,0.243,0.302,0.33,0.632,0.087,6.9,0.288,-0.9,57,-10.5,0.297,84
413,Austin Athmann,DET,A,22-22,366,4.90%,18.90%,0.26,0.268,0.305,0.341,0.646,0.073,2.8,0.326,0.2,36,-7.2,0.297,83
414,Josh McLain,LAD,A,21-22,266,3.40%,19.50%,0.17,0.267,0.302,0.344,0.646,0.077,5.1,0.328,-1.1,26,-5.1,0.297,83
415,Alexis Olmeda,LAA,A,23-25,293,10.60%,27.60%,0.38,0.217,0.301,0.326,0.627,0.109,2.7,0.289,-1.3,28,-5.7,0.297,84
416,Miguel Mercedes,OAK,A,21-22,654,5.50%,27.20%,0.2,0.22,0.272,0.382,0.655,0.162,2,0.273,-0.9,63,-13.2,0.297,83
417,Fidel Mejia,CHC,A,20-20,221,6.80%,21.30%,0.32,0.248,0.301,0.322,0.623,0.074,1.2,0.312,-0.5,21,-4.1,0.296,84
418,Gabriel Arias,SDP,A,17-18,568,7.60%,29.00%,0.26,0.24,0.298,0.34,0.638,0.101,4.1,0.338,-0.5,54,-11.9,0.296,82
419,Sean Reynolds,MIA,A,21-21,266,12.40%,54.50%,0.23,0.173,0.274,0.351,0.625,0.177,5.3,0.392,-0.3,26,-5,0.296,84
420,Trevor Casanova,MIN,A,23-23,200,10.50%,33.00%,0.32,0.206,0.29,0.331,0.621,0.126,2.8,0.296,0.1,19,-3.9,0.295,83
421,Brennan Morgan,LAA,A,23-23,439,8.20%,18.90%,0.43,0.23,0.31,0.317,0.627,0.087,3,0.281,-0.4,42,-9.4,0.295,82
422,Connor Smith,CLE,A,21-22,213,9.40%,19.20%,0.49,0.223,0.316,0.288,0.604,0.065,4.8,0.283,-0.9,20,-4.3,0.294,82
423,Jose Barrero,CIN,A,20-20,517,3.70%,21.70%,0.17,0.245,0.29,0.344,0.634,0.1,5.9,0.307,-1.2,48,-11.5,0.294,81
424,Jack Kruger,LAA,A,22-22,296,7.10%,18.20%,0.39,0.232,0.296,0.341,0.637,0.109,4.5,0.275,0,28,-6.5,0.294,81
425,Brantley Bell,CIN,A,22-22,256,8.20%,28.10%,0.29,0.24,0.309,0.332,0.64,0.092,5.9,0.335,0.9,24,-5.7,0.294,81
426,Jorma Rodriguez,CLE,A,21-22,475,5.70%,22.70%,0.25,0.248,0.297,0.339,0.637,0.092,5.9,0.318,-1.3,45,-10.8,0.294,81
427,Ben Rortvedt,MIN,A,19-20,493,6.50%,19.30%,0.34,0.241,0.297,0.338,0.634,0.097,3.4,0.293,0.3,47,-11,0.294,81
428,Mitch Nay,TOR,A,23-23,275,5.50%,20.70%,0.26,0.222,0.265,0.393,0.658,0.171,2.7,0.241,0,26,-6.1,0.294,81
429,Bryce Denton,STL,A,19-21,528,6.10%,23.70%,0.26,0.231,0.283,0.352,0.634,0.121,4.2,0.287,0.9,49,-11.7,0.294,81
430,Wander Franco,HOU,A,20-20,246,7.30%,26.80%,0.27,0.23,0.285,0.358,0.643,0.128,3.2,0.295,-0.2,23,-5.5,0.294,81
431,Norberto Obeso,TOR,A,22-22,401,11.20%,13.70%,0.82,0.227,0.318,0.296,0.614,0.069,5,0.259,0.3,37,-9.2,0.294,80
432,Johnny Adams,SEA,A,23-23,522,8.40%,25.70%,0.33,0.219,0.288,0.34,0.628,0.121,4.9,0.28,-0.1,48,-12,0.293,80
433,Zach Malis,DET,A,22-22,236,7.20%,18.20%,0.4,0.235,0.298,0.315,0.612,0.08,3.1,0.278,-0.3,22,-5.1,0.292,81
434,Onil Pena,SEA,A,21-21,202,9.40%,29.70%,0.32,0.209,0.307,0.299,0.606,0.09,2.3,0.304,-0.1,18,-4.9,0.292,79
435,Joey Morgan,DET,A,21-21,336,9.50%,22.60%,0.42,0.217,0.306,0.307,0.613,0.09,2.4,0.278,-0.3,30,-8.3,0.291,79
436,Jhombeyker Morales,SEA,A,22-22,303,6.30%,23.80%,0.26,0.245,0.3,0.33,0.63,0.084,3.5,0.324,-1.1,28,-7.5,0.291,79
437,Oneil Cruz,LAD,A,18-18,375,7.50%,29.30%,0.25,0.24,0.293,0.342,0.635,0.102,4.8,0.323,-1.3,35,-9.3,0.291,79
438,Trever Morrison,MIL,A,22-23,570,8.20%,29.50%,0.28,0.223,0.305,0.312,0.617,0.089,5.8,0.323,0.7,52,-14.3,0.291,79
439,Parker Meadows,DET,A,19-19,504,9.30%,22.40%,0.42,0.221,0.296,0.312,0.607,0.09,4.9,0.277,-0.6,47,-11.5,0.29,80
440,Emilio Gustave,TBR,A,22-23,493,6.10%,27.00%,0.23,0.227,0.287,0.338,0.625,0.11,6.1,0.303,-0.9,45,-12.5,0.29,78
441,Joantgel Segovia,MIL,A,20-21,667,5.20%,14.40%,0.36,0.262,0.307,0.315,0.622,0.054,4.4,0.305,1.7,61,-17,0.29,79
442,Davis Bradshaw,MIA,A,21-21,247,3.20%,17.80%,0.18,0.258,0.304,0.307,0.611,0.049,5.9,0.32,-0.1,23,-5.7,0.29,80
443,Roberto Alvarez,TBR,A,19-19,406,4.20%,17.20%,0.24,0.249,0.291,0.324,0.615,0.074,3.7,0.295,0.3,37,-9.5,0.29,80
444,Wander Javier,MIN,A,20-20,342,10.20%,33.90%,0.3,0.177,0.278,0.323,0.601,0.147,4.4,0.243,0.3,31,-8.1,0.29,80
445,Eudy Ramos,ARI,A,21-22,531,5.10%,27.50%,0.18,0.231,0.275,0.354,0.629,0.123,2.7,0.301,-0.7,47,-14,0.289,77
446,Miguel Hernandez,CIN,A,20-20,484,5.20%,19.40%,0.27,0.245,0.284,0.337,0.621,0.092,4.3,0.297,0,44,-11.6,0.289,79
447,Kelvin Melean,SDP,A,19-20,246,7.70%,21.50%,0.36,0.217,0.286,0.33,0.616,0.113,3.7,0.265,0.5,22,-6.2,0.289,78
448,Marcos Almonte,HOU,A,21-22,429,4.00%,25.90%,0.15,0.243,0.276,0.363,0.639,0.12,4.3,0.31,-2.5,39,-11.2,0.289,78
449,Jose Martinez,STL,A,20-21,353,9.90%,17.00%,0.58,0.24,0.314,0.299,0.613,0.058,2.3,0.289,-0.7,32,-9.4,0.289,77
450,Hagen Danner,TOR,A,20-20,307,8.80%,31.30%,0.28,0.17,0.254,0.369,0.623,0.199,6.2,0.204,0.3,28,-7.5,0.288,79
451,Brandon Hughes,CHC,A,22-22,422,7.80%,26.30%,0.3,0.237,0.303,0.307,0.61,0.069,4.8,0.32,0.2,37,-11.5,0.288,76
452,Zac Shepherd,DET,A,21-22,253,17.40%,33.20%,0.52,0.189,0.336,0.233,0.569,0.044,2.3,0.317,-0.7,23,-7,0.288,77
453,Leandro Santana,CIN,A,21-21,442,8.40%,27.80%,0.3,0.217,0.286,0.328,0.615,0.111,3.6,0.287,0.5,38,-12.5,0.287,76
454,Nonie Williams,LAA,A,21-21,490,13.10%,33.90%,0.39,0.184,0.301,0.28,0.581,0.097,6.4,0.285,1.6,44,-12.8,0.286,77
455,Nick Thurman,SEA,A,23-24,478,7.70%,30.50%,0.25,0.228,0.298,0.312,0.61,0.084,4.2,0.331,0.8,42,-13.7,0.286,75
456,Tra Holmes,ARI,A,21-22,601,8.50%,26.60%,0.32,0.21,0.305,0.277,0.582,0.067,6.6,0.296,1.1,53,-16.4,0.285,76
457,Gersel Pitre,LAD,A,20-22,357,3.40%,19.00%,0.18,0.274,0.298,0.318,0.615,0.044,4,0.338,0.5,31,-10.2,0.285,75
458,Hank Morrison,MIN,A,23-23,203,4.90%,20.20%,0.24,0.217,0.286,0.326,0.612,0.109,4.9,0.257,0.4,18,-5.9,0.285,75
459,DJ Neal,TOR,A,22-22,307,6.20%,24.10%,0.26,0.238,0.289,0.312,0.601,0.074,5.9,0.306,-0.5,27,-8.2,0.285,77
460,Jean Carlos Arias,MIN,A,20-21,374,3.70%,22.50%,0.17,0.23,0.259,0.375,0.634,0.145,6.1,0.279,-1.3,32,-10.8,0.285,75
461,Kevin Maitan,LAA,A,19-19,532,7.30%,30.80%,0.24,0.214,0.278,0.323,0.601,0.109,4.6,0.295,-0.4,47,-14.4,0.285,76
462,Jonathan Sierra,CHC,A,20-20,408,5.10%,15.20%,0.34,0.242,0.283,0.324,0.606,0.082,3.4,0.279,-0.9,36,-11.1,0.285,76
463,Austin Upshaw,CHC,A,20-21,385,6.00%,16.40%,0.37,0.237,0.285,0.334,0.62,0.097,2.5,0.268,-0.6,33,-11.6,0.284,74
464,Montrell Marshall,CIN,A,22-22,262,11.50%,34.00%,0.34,0.181,0.286,0.31,0.596,0.128,5,0.279,0.1,22,-8,0.283,73
465,Todd Isaacs,CLE,A,21-22,728,4.00%,29.90%,0.13,0.228,0.27,0.35,0.62,0.122,7.5,0.315,5.8,62,-22.3,0.283,74
466,Nick Allen,OAK,A,19-19,512,6.60%,16.60%,0.4,0.239,0.301,0.302,0.603,0.063,6.9,0.289,1.4,43,-15.8,0.283,73
467,Bryson Brigman,SEA,A,22-22,518,8.50%,14.30%,0.59,0.235,0.306,0.296,0.602,0.06,5.4,0.274,-0.1,45,-15.9,0.283,74
468,Johnny Slater,SEA,A,21-21,201,9.00%,26.90%,0.33,0.215,0.293,0.316,0.609,0.102,5.9,0.295,-0.6,17,-6.3,0.283,74
469,Miguel Eladio,CLE,A,21-22,566,3.50%,26.10%,0.14,0.238,0.269,0.351,0.62,0.113,4.9,0.31,-0.1,48,-17.7,0.282,73
