#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1,Lewin Díaz,MIN,A,20-20,122,466,508,136,90,33,1,12,47,68,25,3,80,6,11,0,13,2,1,0.292
2,Brady Whalen,STL,A,21-21,121,435,508,108,70,30,1,7,57,81,56,1,101,6,11,0,6,0,5,0.248
3,Carl Chester,TBR,A,22-22,105,393,439,112,78,23,6,5,61,63,22,2,67,8,10,6,4,15,7,0.285
4,Blaze Alexander,ARI,A,20-20,97,343,406,90,67,12,4,7,56,47,42,0,89,12,9,0,7,14,4,0.262
5,Ernie De La Trinidad,ARI,A,22-22,91,312,379,97,74,13,2,8,52,56,45,0,48,9,9,0,5,6,7,0.311
6,Agustin Ruiz,SDP,A,18-19,124,458,527,110,75,29,2,4,51,57,53,1,132,6,9,1,12,2,1,0.24
7,Ulrich Bojarski,DET,A,19-20,114,420,457,112,77,20,4,11,58,60,16,0,102,6,9,1,10,6,3,0.267
8,Zachery Almond,ARI,A,23-23,91,313,368,68,46,17,0,5,35,44,43,1,93,2,9,1,3,3,1,0.217
9,Aaron Whitefield,MIN,A,20-20,117,413,460,108,73,18,6,11,66,57,31,1,118,7,8,1,8,33,9,0.262
10,Jack Suwinski,SDP,A,18-19,236,854,973,205,138,37,11,19,121,98,92,1,228,14,8,5,7,13,8,0.24
11,Austin Beck,OAK,A,19-19,123,493,534,146,111,29,4,2,58,60,30,2,117,3,8,0,14,8,6,0.296
12,Logan Farrar,OAK,A,23-24,189,665,763,153,112,22,5,14,84,84,79,4,172,10,8,1,12,7,3,0.23
13,John Sansone,CIN,A,23-24,167,591,682,134,81,32,4,17,76,86,62,1,191,19,8,2,8,8,2,0.227
14,Daniel Pinero,DET,A,23-23,120,422,497,122,88,26,4,4,61,56,57,0,68,7,8,3,12,5,2,0.289
15,Moisés Gómez,TBR,A,19-19,122,471,516,132,72,34,7,19,67,82,34,0,137,3,8,0,11,4,3,0.28
16,Jordan Pearce,DET,A,22-23,170,579,682,127,96,22,1,8,67,68,88,2,136,4,8,3,8,2,1,0.219
17,Colton Shaver,HOU,A,22-22,95,327,378,73,39,18,1,15,44,50,34,0,84,9,8,0,10,2,2,0.223
18,Manny Jefferson,ARI,A,22-23,129,446,502,96,70,20,4,2,44,42,39,0,112,9,8,0,9,7,2,0.215
19,Reynaldo Rivera,DET,A,21-22,177,607,675,142,88,35,6,13,60,81,56,0,191,3,8,1,9,6,2,0.234
20,Daz Cameron,HOU,A,20-20,123,454,522,123,72,29,8,14,80,74,48,2,112,12,7,1,10,32,13,0.271
21,Josh Rojas,HOU,A,23-23,52,195,219,50,30,5,5,10,33,40,15,0,43,2,7,0,1,0,0,0.256
22,Taylor Trammell,CIN,A,19-19,129,491,571,138,91,24,10,13,80,77,71,1,123,1,7,0,4,41,12,0.281
23,Miguel Vargas,LAD,A,18-19,93,355,412,107,78,21,3,5,57,51,45,1,63,4,7,1,10,9,1,0.301
24,Bo Naylor,CLE,A,19-19,107,399,453,97,58,18,10,11,60,65,43,1,104,1,7,3,8,7,5,0.243
25,Wander Franco,TBR,A,18-18,62,233,272,74,47,16,5,6,42,29,30,1,20,2,7,0,2,14,9,0.318
26,Ryan Grotjohn,ARI,A,23-23,80,297,335,90,55,22,6,7,51,49,25,0,54,6,7,0,4,3,5,0.303
27,Brent Diaz,MIL,A,22-23,96,272,332,63,40,14,2,7,35,37,44,0,77,8,7,1,5,7,4,0.232
28,Cobie Fletcher-Vance,OAK,A,21-21,85,293,345,68,49,18,0,1,39,28,39,0,59,6,7,0,9,4,1,0.232
29,Cole Roederer,CHC,A,19-19,108,384,448,86,54,19,4,9,45,60,52,0,112,5,7,0,6,16,5,0.224
30,Luke Persico,OAK,A,21-21,117,446,502,116,82,25,4,5,61,64,46,1,80,2,7,1,11,7,4,0.26
31,Miles Gordon,CIN,A,20-21,120,430,487,90,66,11,8,5,60,33,39,1,113,3,7,8,5,30,10,0.209
32,Reggie Pruitt,TOR,A,21-22,177,636,730,155,115,25,11,4,106,47,73,0,204,10,7,4,6,77,22,0.244
33,Josh Rolette,CLE,A,22-23,120,372,442,80,51,23,1,5,30,48,57,1,119,5,7,1,4,1,1,0.215
34,Adrian Rondon,LAA,A,18-20,193,721,787,152,112,29,2,9,80,70,50,0,231,8,7,1,24,8,5,0.211
35,Ronaldo Hernández,TBR,A,20-20,109,405,449,115,73,20,1,21,68,79,31,1,69,6,7,0,11,10,4,0.284
36,Ramiro Rodriguez,HOU,A,21-21,50,161,207,35,23,7,3,2,24,18,35,0,37,4,7,0,1,15,10,0.217
37,Jim Haley,TBR,A,22-23,107,400,437,129,91,28,2,8,56,61,19,0,69,8,7,3,7,15,2,0.323
38,Ryan Gold,TOR,A,20-21,155,576,633,143,94,34,6,9,56,77,37,0,133,12,7,1,13,6,2,0.248
39,Yariel Gonzalez,STL,A,24-24,107,395,434,123,88,23,1,11,51,64,31,3,58,1,7,0,14,3,1,0.311
40,Jose Herrera,ARI,A,20-22,141,505,569,119,79,33,1,6,43,61,58,1,86,0,6,0,17,2,1,0.236
41,Jose Siri,CIN,A,21-21,126,498,552,146,87,24,11,24,92,76,33,2,130,6,6,9,5,46,12,0.293
42,Nate Mondou,OAK,A,22-22,66,247,288,73,54,16,3,0,31,32,31,2,43,2,6,2,6,8,3,0.296
43,Fernando Tatis Jr.,SDP,A,18-18,117,431,518,121,67,26,7,21,78,69,75,2,124,6,6,0,6,29,15,0.281
44,Miles Mastrobuoni,TBR,A,21-21,104,379,439,100,77,17,3,3,61,39,51,1,66,0,6,3,6,18,7,0.264
45,Jared Young,CHC,A,22-22,69,259,293,81,52,13,6,10,41,53,20,0,47,6,6,2,7,1,0,0.313
46,Jose Miranda,MIN,A,20-20,104,401,439,111,75,22,1,13,52,72,26,0,51,6,6,0,14,0,1,0.277
47,César Salazar,HOU,A,22-23,85,292,329,73,50,16,1,6,33,46,21,0,54,10,6,0,4,5,3,0.25
48,Will Benson,CLE,A,20-21,185,633,765,134,67,23,4,40,98,113,119,3,230,7,6,0,6,30,8,0.212
49,Nick Allen,OAK,A,19-19,121,460,512,110,87,17,6,0,51,34,34,1,85,9,6,3,6,24,8,0.239
50,Jacob Amaya,LAD,A,19-20,130,484,589,127,90,26,4,7,81,63,94,1,101,4,6,1,12,7,7,0.262
51,Brandon Hughes,CHC,A,22-22,110,375,422,89,71,14,0,4,46,35,33,0,111,5,6,3,6,22,10,0.237
52,David Fry,MIL,A,22-23,136,513,577,132,73,41,1,17,66,70,50,1,114,6,6,2,5,7,4,0.257
53,Billy Cooke,SEA,A,21-22,137,419,499,71,59,8,1,3,39,24,54,1,146,16,6,4,7,19,11,0.169
54,Hunter Hargrove,OAK,A,23-23,126,469,525,136,99,28,0,9,59,68,37,3,61,11,6,2,13,1,0,0.29
55,Jancarlos Cintron,ARI,A,23-23,97,342,377,102,74,19,2,7,51,39,18,0,45,11,6,0,7,3,4,0.298
56,Ryan Costello,SEA,A,22-22,101,346,406,92,50,24,2,16,48,70,51,0,82,3,6,0,7,2,4,0.266
57,Jeisson Rosario,SDP,A,18-18,117,436,521,118,93,17,5,3,79,34,66,2,108,5,6,8,4,18,12,0.271
58,Ben Rodriguez,MIN,A,23-24,138,481,537,114,68,30,1,15,66,63,45,1,150,5,6,0,19,2,2,0.237
59,Austin Upshaw,CHC,A,20-21,92,350,385,83,62,14,1,6,37,46,23,1,63,3,6,3,7,1,2,0.237
60,Jacob Pearson,MIN,A,20-21,160,565,637,129,89,25,4,11,86,68,62,0,132,3,6,1,2,18,10,0.228
61,Tristen Lutz,MIL,A,19-19,119,444,503,109,60,33,3,13,63,63,46,0,139,6,6,1,11,9,3,0.245
62,Spencer Griffin,LAA,A,21-22,204,727,841,168,126,19,13,10,111,75,99,0,268,7,6,2,16,23,11,0.231
63,Will Banfield,MIA,A,19-19,101,397,433,79,55,13,2,9,44,55,25,0,121,5,6,0,8,0,0,0.199
64,Mitch Nay,TOR,A,23-23,61,252,275,56,35,9,2,10,26,40,15,0,57,2,6,0,7,0,0,0.222
65,Cam Gibson,DET,A,23-23,65,263,303,72,45,10,7,10,49,34,25,0,45,2,6,7,2,12,4,0.274
66,Jose Martinez,STL,A,20-21,96,308,353,74,58,15,0,1,30,22,35,1,60,1,6,3,15,3,3,0.24
67,Eleardo Cabrera,TBR,A,21-22,156,538,616,126,95,21,5,5,56,55,47,1,152,18,6,7,14,11,8,0.234
68,Moises Perez,LAD,A,19-20,114,388,420,86,61,20,4,1,38,33,20,0,98,5,6,1,14,14,4,0.222
69,Keinner Piña,LAA,A,21-22,114,427,469,106,92,11,2,1,33,49,29,0,100,5,6,2,10,3,0,0.248
70,Yeltsin Gudino,TOR,A,20-21,153,547,621,150,125,21,2,2,71,59,50,1,69,13,6,5,20,5,3,0.274
71,Rafael Narea,CHC,A,20-21,152,492,561,111,84,25,0,2,60,54,43,1,95,7,6,13,18,10,5,0.226
72,Leandro Cedeño,STL,A,20-20,100,366,396,99,67,24,2,6,35,44,18,0,101,6,6,0,13,4,1,0.27
73,Demi Orimoloye,MIL,A,20-21,186,682,763,156,99,32,9,16,84,68,62,0,191,11,6,2,13,53,16,0.229
74,Connor Fitzsimons,LAA,A,23-24,122,390,456,90,57,21,2,10,52,56,44,0,170,16,6,0,9,2,3,0.231
75,Jesus Lujano,MIL,A,20-20,122,445,490,107,88,14,4,1,55,37,30,1,83,5,6,4,13,23,5,0.24
76,Danny Woodrow,DET,A,22-22,116,469,541,127,106,17,4,0,73,47,51,1,93,2,6,13,2,31,11,0.271
77,Stefan Trosclair,STL,A,22-22,111,404,481,110,71,18,6,15,61,59,56,1,111,13,6,2,8,14,4,0.272
78,Josh Lester,DET,A,22-22,66,265,285,73,46,17,1,9,30,42,12,0,46,3,5,0,1,1,1,0.275
79,Tyler Stephenson,CIN,A,20-20,80,295,348,82,54,22,0,6,39,50,44,0,58,4,5,0,7,2,1,0.278
80,Travis Blankenhorn,MIN,A,20-20,118,438,508,110,64,22,11,13,68,69,47,2,119,17,5,1,7,13,2,0.251
81,Juan Yepez,STL,A,19-21,130,486,535,143,95,33,3,12,67,80,40,1,110,4,5,0,18,12,3,0.294
82,Otto Lopez,TOR,A,20-20,108,447,492,145,115,20,5,5,61,50,34,0,63,2,5,4,7,20,15,0.324
83,Josh Lowe,TBR,A,19-19,118,456,507,122,86,26,2,8,60,55,42,0,144,0,5,4,5,22,8,0.268
84,Gavin Lux,LAD,A,19-19,111,434,501,106,77,14,8,7,68,39,56,0,88,3,5,3,6,27,10,0.244
85,Royce Lewis,MIN,A,18-19,93,366,407,114,78,25,1,10,66,63,30,1,65,5,5,1,4,25,5,0.311
86,Trey Cabbage,MIN,A,20-22,164,568,630,140,88,30,6,16,62,74,52,2,196,5,5,0,8,5,2,0.246
87,Ford Proctor,TBR,A,22-22,121,458,536,133,96,29,2,6,76,53,69,2,90,3,5,1,12,11,8,0.29
88,Jeremy Peña,HOU,A,21-21,66,242,289,71,54,8,4,5,45,41,35,0,57,6,5,0,2,17,6,0.293
89,Oneil Cruz,LAD,A,18-18,89,342,375,82,64,9,1,8,51,36,28,1,110,0,5,0,5,8,7,0.24
90,Gabriel Moreno,TOR,A,19-19,82,307,341,86,52,17,5,12,47,52,22,1,38,7,5,0,7,7,1,0.28
91,Wenceel Pérez,DET,A,18-19,140,527,587,128,97,19,9,3,67,39,47,1,95,0,5,8,4,25,14,0.243
92,David Bañuelos,MIN,A,21-22,91,315,341,69,46,18,1,4,35,31,18,0,96,1,5,2,3,2,4,0.219
93,Ryan Noda,TOR,A,22-22,124,403,527,103,55,24,4,20,78,80,109,3,135,10,5,0,7,14,4,0.256
94,Hunter Feduccia,LAD,A,21-22,81,284,342,82,54,23,1,4,40,40,51,2,73,1,5,1,7,2,0,0.289
95,Parker Meadows,DET,A,19-19,126,443,504,98,74,15,2,7,52,40,47,0,113,2,5,7,4,14,8,0.221
96,David Hensley,HOU,A,22-23,143,524,586,118,81,22,5,10,64,48,56,1,151,0,5,1,16,13,10,0.225
97,Peyton Burdick,MIA,A,22-22,63,238,288,73,40,20,3,10,57,59,32,0,67,12,5,0,11,6,6,0.307
98,J.D. Osborne,MIA,A,23-23,85,310,344,80,52,18,0,10,44,52,18,0,83,11,5,0,9,3,0,0.258
99,Brandon Grudzielanek,TOR,A,23-23,88,322,366,79,58,12,4,5,43,35,35,2,84,4,5,0,10,9,2,0.245
100,Luke Heyer,LAD,A,21-22,156,559,634,132,86,26,3,17,75,72,58,0,180,12,5,0,14,8,5,0.236
101,Joseph Pena,OAK,A,23-23,96,336,413,81,68,9,3,1,54,28,61,0,65,7,5,4,9,9,4,0.241
102,Brian Rey,CIN,A,21-21,66,235,259,66,41,16,0,9,31,40,11,1,35,7,5,1,6,1,0,0.281
103,Nick Osborne,OAK,A,22-22,67,246,275,59,32,19,1,7,26,38,23,0,87,1,5,0,9,6,5,0.24
104,Blaise Salter,DET,A,24-24,66,261,289,86,51,29,0,6,39,53,17,0,47,6,5,0,7,2,0,0.33
105,Miguel Mercedes,OAK,A,21-22,160,604,654,133,78,33,1,21,60,83,36,1,178,9,5,0,14,0,2,0.22
106,Emmanuel Tapia,CLE,A,21-21,124,461,505,98,49,20,0,29,53,71,35,2,180,4,5,0,7,1,0,0.213
107,Tucker Neuhaus,MIL,A,22-22,87,323,355,79,39,26,1,13,45,47,20,1,99,6,5,1,6,4,5,0.245
108,Ridge Smith,TOR,A,22-23,55,180,210,45,26,15,1,3,23,29,23,0,41,2,5,0,3,2,0,0.25
109,Ronnie Gideon,MIL,A,22-22,113,390,438,89,46,28,1,14,42,55,39,1,133,4,5,0,9,6,4,0.228
110,J.B. Woodman,TOR,A,22-22,96,362,414,87,56,19,5,7,44,45,40,1,157,5,5,2,3,8,4,0.24
111,Marcos Almonte,HOU,A,21-22,107,399,429,97,68,19,1,9,44,51,17,1,111,3,5,5,7,12,12,0.243
112,Andy Sugilio,CIN,A,21-21,91,363,387,101,78,14,4,5,34,45,17,1,61,1,5,1,5,12,7,0.278
113,Trace Loehr,OAK,A,22-23,163,615,681,169,129,24,10,6,85,58,46,1,110,2,5,13,14,25,12,0.275
114,K.J. Harrison,MIL,A,21-21,115,417,466,95,54,29,0,12,45,51,39,0,147,5,5,0,3,2,2,0.228
115,Jesse Berardi,CLE,A,22-23,135,497,545,125,90,26,3,6,52,48,38,1,93,4,5,1,13,14,7,0.252
116,Jesus Navarro,TOR,A,20-20,54,184,211,53,42,10,0,1,17,22,20,0,33,2,5,0,3,4,1,0.288
117,Mariel Bautista,CIN,A,21-21,103,386,433,90,70,10,2,8,43,33,28,1,88,13,5,1,11,19,11,0.233
118,Colby Bortles,DET,A,23-23,115,407,461,100,68,27,0,5,42,53,43,0,121,6,5,0,4,5,5,0.246
119,Luke Wakamatsu,CLE,A,20-20,100,377,419,90,58,17,3,12,49,53,32,0,100,4,5,1,4,8,5,0.239
120,Devin Davis,TBR,A,21-21,96,342,385,97,74,17,0,6,31,47,30,0,67,7,5,1,5,1,1,0.284
121,Jordan Devencenzi,OAK,A,25-25,81,282,318,75,60,13,1,1,32,25,21,1,40,6,5,4,14,0,2,0.266
122,Logan Ice,CLE,A,22-22,93,316,367,72,50,10,1,11,38,42,42,0,74,3,5,1,7,1,1,0.228
123,Yeison Coca,MIL,A,20-20,130,443,504,90,63,13,8,6,44,41,47,1,148,2,5,7,8,25,12,0.203
124,Carlos Rincon,LAD,A,19-20,168,622,708,131,77,26,3,25,69,81,73,2,234,8,5,0,11,11,2,0.211
125,Raymond Henderson,HOU,A,21-21,60,197,226,41,27,11,0,3,23,29,19,0,55,5,5,0,1,0,0,0.208
126,Luis Almanzar,SDP,A,18-19,116,396,451,71,52,13,1,5,40,36,46,0,143,2,5,2,6,5,3,0.179
127,Marcus Wilson,ARI,A,20-20,103,383,447,113,78,21,5,9,56,54,55,2,90,2,4,1,7,15,7,0.295
128,Taylor Jones,HOU,A,23-23,50,174,202,38,25,8,0,5,23,28,17,0,50,6,4,1,4,0,0,0.218
129,Vladimir Guerrero Jr.,TOR,A,18-18,71,269,318,85,56,21,1,7,53,45,40,2,34,5,4,0,11,6,2,0.316
130,Cody Thomas,LAD,A,22-22,121,460,512,102,60,18,4,20,59,65,43,1,150,5,4,0,4,6,7,0.222
131,René Pinto,TBR,A,20-20,70,269,293,76,56,16,2,2,30,36,17,0,41,3,4,0,9,1,0,0.283
132,Jesús Sánchez,TBR,A,19-19,117,475,512,145,97,29,4,15,81,82,32,2,91,1,4,0,12,7,2,0.305
133,Conner Capel,CLE,A,20-20,119,439,492,108,57,22,7,22,73,61,43,0,108,4,4,2,6,15,10,0.246
134,Jazz Chisholm Jr.,ARI,A,19-20,105,416,466,102,58,22,6,16,66,55,40,0,136,4,4,2,4,11,2,0.245
135,Scott Hurst,STL,A,22-22,49,190,216,56,41,11,1,3,28,25,19,0,41,3,4,0,4,7,4,0.295
136,Elehuris Montero,STL,A,19-19,103,382,425,123,77,28,3,15,68,69,33,1,81,6,4,0,11,2,0,0.322
137,Oscar Gonzalez,CLE,A,20-20,114,462,480,135,96,25,1,13,52,52,12,0,107,2,4,0,9,5,6,0.292
138,Miguel Amaya,CHC,A,19-19,116,414,479,106,71,21,2,12,54,52,50,5,91,11,4,0,9,1,0,0.256
139,Jair Camargo,LAD,A,19-19,79,284,316,67,45,18,0,4,38,41,21,1,91,7,4,0,9,5,3,0.236
140,Jonathan Aranda,TBR,A,21-21,59,211,246,58,40,13,2,3,28,35,30,1,43,0,4,0,5,1,1,0.275
141,Hagen Danner,TOR,A,20-20,80,271,307,46,21,8,5,12,31,33,27,1,96,5,4,0,6,4,1,0.17
142,Brice Turang,MIL,A,19-19,82,303,357,87,68,13,4,2,57,31,49,2,54,1,4,0,2,21,4,0.287
143,Nolan Gorman,STL,A,18-19,92,335,389,77,41,17,3,16,49,57,42,3,118,8,4,0,3,2,2,0.23
144,Xavier Edwards,SDP,A,19-19,77,307,344,103,85,13,4,1,44,30,30,2,35,1,4,2,3,20,9,0.336
145,Buddy Kennedy,ARI,A,20-20,101,385,438,101,72,18,4,7,50,49,47,2,81,2,4,0,9,4,4,0.262
146,Chris Roller,LAD,A,21-22,116,407,469,108,67,25,8,8,67,51,44,0,108,12,4,2,7,16,4,0.265
147,Brendan Donovan,STL,A,22-22,113,402,480,107,70,26,3,8,70,53,63,1,91,11,4,0,3,4,2,0.266
148,LJ Talley,TOR,A,22-22,52,183,208,35,22,6,1,6,25,27,18,0,39,2,4,1,1,1,0,0.191
149,Brock Lundquist,TOR,A,22-22,70,245,292,61,36,11,1,13,29,48,33,3,68,10,4,0,4,1,0,0.249
150,Rafael Lantigua,TOR,A,21-21,95,335,364,85,59,16,6,4,36,31,23,0,58,2,4,0,6,9,8,0.254
151,Keshawn Lynch,ARI,A,22-22,75,237,293,53,43,9,1,0,31,22,44,0,81,5,4,3,7,2,3,0.224
152,Quentin Holmes,CLE,A,19-19,112,412,459,72,47,15,4,6,54,26,36,0,159,5,4,2,4,23,9,0.175
153,Jonathan Lacroix,HOU,A,21-22,141,491,552,118,80,23,9,6,58,57,47,1,147,10,4,0,8,9,9,0.24
154,Jay Schuyler,CIN,A,22-22,109,388,440,101,78,16,2,5,50,50,41,1,75,5,4,2,5,5,5,0.26
155,Josh McLain,LAD,A,21-22,67,247,266,66,50,14,1,1,30,23,9,1,52,5,4,1,2,9,7,0.267
156,Gabe Snyder,MIN,A,24-24,114,424,481,110,66,21,4,19,63,58,44,0,109,8,4,0,5,4,2,0.259
157,Dillon Paulson,LAD,A,22-22,82,300,361,67,37,17,1,12,52,50,56,1,88,1,4,0,5,0,0,0.223
158,Grant Witherspoon,TBR,A,22-22,119,440,490,109,70,24,5,10,71,54,44,1,101,2,4,0,7,22,6,0.248
159,Chris Proctor,DET,A,21-22,87,308,337,62,50,9,1,2,32,31,22,0,62,0,4,3,2,8,1,0.201
160,Ruben Cardenas,CLE,A,21-21,114,431,481,117,73,24,7,13,58,70,40,4,90,5,4,1,10,11,10,0.271
161,Devin Foyle,OAK,A,22-22,95,327,393,77,53,15,3,6,49,43,52,0,98,6,4,2,3,16,8,0.235
162,Austin Dennis,HOU,A,22-22,105,396,444,95,72,15,5,3,60,41,38,0,78,6,4,0,9,23,7,0.24
163,Andy Weber,CHC,A,21-21,127,487,544,134,87,36,8,3,65,59,43,4,110,5,4,5,5,5,0,0.275
164,Yojhan Quevedo,SEA,A,23-23,101,396,417,108,76,24,1,7,36,46,12,0,51,5,4,0,9,5,1,0.273
165,Jhombeyker Morales,SEA,A,22-22,77,273,303,67,46,20,0,1,28,31,19,0,72,4,4,3,2,7,6,0.245
166,Juan Moreno,LAA,A,22-22,94,299,333,49,40,8,0,1,27,21,21,0,65,2,4,7,9,5,5,0.164
167,Vince Jackson,STL,A,23-23,72,256,289,68,41,16,3,8,33,32,28,2,71,1,4,0,6,0,2,0.266
168,Hector Vargas,CIN,A,22-23,127,460,493,102,80,14,1,7,44,37,19,0,69,3,4,7,9,4,5,0.222
169,Torii Hunter Jr.,LAA,A,23-23,97,381,433,97,73,14,8,2,59,27,44,0,106,4,4,0,4,24,6,0.255
170,Trever Morrison,MIL,A,22-23,147,497,570,111,79,25,2,5,70,50,47,1,168,13,4,9,7,16,6,0.223
171,Anthony Pereira,DET,A,20-21,172,617,686,147,99,39,1,8,58,75,56,0,116,4,4,5,13,13,5,0.238
172,Eugene Helder,SEA,A,22-22,102,375,418,90,63,17,3,7,48,44,34,0,64,3,4,2,7,4,0,0.24
173,Gabriel Mejia,CLE,A,21-22,76,268,300,61,51,8,2,0,25,16,25,0,51,1,4,2,3,16,8,0.228
174,Leandro Santana,CIN,A,21-21,113,396,442,86,61,15,1,9,39,37,37,1,123,3,4,2,6,5,1,0.217
175,Ramon Hernandez,ARI,A,21-21,114,445,480,131,95,21,2,13,46,72,20,0,87,11,4,0,16,3,6,0.294
176,Yan Sanchez,ARI,A,20-21,155,592,640,153,118,27,4,4,73,53,41,1,124,2,4,1,16,11,13,0.258
177,Hendrik Clementina,CIN,A,21-21,96,340,376,91,50,22,1,18,38,59,30,3,99,2,4,0,5,1,0,0.268
178,Kevonte Mitchell,CHC,A,21-21,115,408,459,100,65,19,5,11,54,59,38,1,108,6,4,3,12,21,6,0.245
179,Andrew Bechtold,MIN,A,22-23,172,571,669,130,91,31,1,7,75,59,91,0,184,2,4,1,9,12,3,0.228
180,Bryson Brigman,SEA,A,22-22,120,463,518,109,89,14,4,2,55,36,44,1,74,5,4,2,12,16,8,0.235
181,Jhonny Bethencourt,CHC,A,21-21,64,252,279,69,49,14,5,1,33,23,17,0,58,1,4,5,6,7,3,0.274
182,Yeiler Peguero,CHC,A,19-20,135,474,546,113,79,24,7,3,64,45,55,1,101,2,4,11,7,13,9,0.238
183,Romer Cuadrado,LAD,A,20-21,205,782,870,179,124,38,5,12,84,85,75,1,246,8,4,0,21,9,6,0.229
184,Jean Carlos Arias,MIN,A,20-21,94,352,374,81,53,12,9,7,39,39,14,1,84,1,4,3,3,6,6,0.23
185,Chris Betts,TBR,A,21-22,126,451,537,96,59,15,2,20,68,79,73,1,152,8,4,1,5,3,0,0.213
186,Mitchell Hansen,LAD,A,21-22,106,371,416,77,54,12,4,7,42,38,39,2,107,2,4,0,6,14,5,0.208
187,Brad Zunica,SDP,A,21-21,84,276,330,69,35,16,0,18,44,51,43,1,102,7,4,0,3,1,1,0.25
188,Ryan McCarvel,STL,A,22-22,94,343,390,79,39,21,3,16,50,53,41,1,113,2,4,0,7,1,4,0.23
189,Gabriel Garcia,MIL,A,20-21,191,604,719,121,69,33,3,16,82,77,88,0,202,19,4,4,9,10,9,0.2
190,Emilio Gustave,TBR,A,22-23,129,444,493,101,72,17,4,8,62,51,30,0,133,9,4,6,6,10,7,0.227
191,Zach Clark,MIL,A,21-22,135,473,535,110,71,19,9,11,60,45,48,0,209,5,4,5,3,23,14,0.233
192,Miguel Hernandez,CIN,A,20-20,127,445,484,109,80,22,2,5,47,43,25,2,94,1,4,9,13,7,3,0.245
193,Roberto Alvarez,TBR,A,19-19,102,377,406,94,75,13,3,3,30,42,17,0,70,7,4,1,11,2,0,0.249
194,Eduardo Diaz,ARI,A,20-21,105,406,452,108,74,20,5,9,60,42,29,0,97,11,4,2,8,16,4,0.266
195,Jonathan Sierra,CHC,A,20-20,101,380,408,92,69,18,2,3,41,40,21,0,62,2,4,1,15,2,3,0.242
196,Osmy Gregorio,TBR,A,21-21,115,408,454,82,59,14,2,7,58,37,36,0,111,5,4,1,9,19,4,0.201
197,Joe Rizzo,SEA,A,19-19,110,410,480,104,80,17,0,7,47,50,63,1,113,3,4,0,9,3,1,0.254
198,Nonie Williams,LAA,A,21-21,119,414,490,76,50,18,2,6,58,38,64,0,166,7,4,1,12,23,7,0.184
199,Joey Rose,ARI,A,20-21,98,336,382,63,39,17,2,5,35,46,37,0,119,5,4,0,3,2,0,0.188
200,Michael Cruz,CHC,A,21-22,100,346,394,81,41,28,0,12,41,53,36,1,46,6,4,0,16,1,0,0.234
201,Anthony Churlin,OAK,A,21-22,110,387,439,96,72,18,2,4,36,45,38,1,116,8,4,2,7,8,7,0.248
202,Skyler Weber,OAK,A,23-24,164,537,612,111,77,29,1,4,64,49,63,0,138,5,4,2,13,17,4,0.207
203,Brandon Montgomery,LAD,A,21-22,100,374,400,95,69,13,4,9,47,46,20,0,94,1,4,1,8,12,4,0.254
204,Chavez Young,TOR,A,20-20,125,470,537,134,84,33,9,8,88,57,58,2,100,2,4,0,8,44,13,0.285
205,Reinaldo Ilarraza,SDP,A,18-19,154,569,631,126,101,19,2,4,66,54,47,0,178,6,4,5,6,33,8,0.221
206,Brian O'Keefe,STL,A,23-23,97,373,411,97,62,20,0,15,43,46,34,0,89,1,3,0,14,7,3,0.26
207,Jonah Heim,TBR,A,22-22,77,291,321,78,51,17,1,9,45,53,27,0,57,0,3,0,4,0,1,0.268
208,Luis Liberato,SEA,A,21-21,57,191,223,44,24,5,9,6,34,22,23,0,51,0,3,6,1,5,4,0.23
209,Vimael Machín,CHC,A,23-23,72,272,305,87,59,17,1,10,46,57,24,1,33,0,3,6,11,4,2,0.32
210,Nathaniel Lowe,TBR,A,21-21,63,229,269,67,49,13,0,5,34,35,36,0,53,1,3,0,3,0,1,0.293
211,Luis Barrera,OAK,A,21-21,73,278,301,77,54,13,7,3,41,22,16,0,61,3,3,1,7,13,7,0.277
212,Edward Olivares,TOR,A,21-21,101,426,464,118,66,26,9,17,82,65,22,1,82,13,3,0,12,18,7,0.277
213,Ronnie Dawson,HOU,A,22-22,116,438,505,119,78,23,4,14,81,62,55,0,101,9,3,0,10,17,8,0.272
214,Joshua Palacios,TOR,A,21-21,91,368,419,103,80,18,3,2,65,39,42,0,78,6,3,0,4,12,6,0.28
215,Luis Rengifo,SEA,A,20-20,125,496,554,124,80,27,5,12,79,52,41,0,97,8,3,6,8,34,17,0.25
216,Isaac Paredes,CHC,A,18-18,124,452,517,114,75,28,0,11,65,70,42,0,67,18,3,2,15,2,1,0.252
217,Dylan Carlson,STL,A,18-19,128,430,508,103,72,21,1,9,68,51,62,2,126,9,3,4,8,8,6,0.24
218,Kevin Smith,TOR,A,21-21,46,183,204,65,31,23,4,7,36,44,17,1,33,1,3,0,2,12,1,0.355
219,Alex Kirilloff,MIN,A,20-20,65,252,281,84,46,20,5,13,36,56,24,4,47,2,3,0,4,1,1,0.333
220,Irving Lopez,STL,A,23-23,77,289,337,79,54,20,1,4,46,26,31,0,54,13,3,1,4,2,2,0.273
221,Nolan Jones,CLE,A,20-20,90,323,389,90,62,12,0,16,46,49,63,0,97,0,3,0,7,2,1,0.279
