#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
380,Devin Hairston,MIL,A,21-22,83,281,326,60,51,5,2,2,31,24,40,0,87,2,2,1,4,7,5,0.214
381,Tyler Friis,CLE,A,22-22,59,214,249,57,40,12,2,3,32,27,31,0,26,1,2,0,1,8,5,0.266
382,Ryan Gridley,OAK,A,23-24,121,416,474,110,78,24,2,6,52,44,44,0,78,9,2,3,12,9,7,0.264
383,Kelvin Melean,SDP,A,19-20,65,221,246,48,31,13,0,4,20,21,19,0,53,3,2,1,9,5,1,0.217
384,Eddie Hernandez,ARI,A,20-20,71,267,295,58,41,13,3,1,29,28,23,2,77,2,2,1,5,2,2,0.217
385,Alfredo Angarita,HOU,A,21-21,63,235,271,58,45,9,3,1,23,24,28,0,44,3,2,3,5,5,8,0.247
386,Julio E. Rodriguez,STL,A,21-21,76,291,306,75,50,15,2,8,26,47,13,1,60,0,2,0,12,0,0,0.258
387,Miguel Jerez,CLE,A,21-21,80,262,306,46,25,11,0,10,30,36,33,0,96,9,2,0,3,1,0,0.176
388,Juan Fernandez,SDP,A,19-20,120,411,459,101,73,22,2,4,44,49,37,0,80,8,2,1,4,2,4,0.246
389,Hudson Potts,SDP,A,18-18,125,491,522,124,77,23,4,20,67,69,23,0,140,6,2,0,13,0,1,0.253
390,Hosea Nelson,CLE,A,22-22,74,238,276,49,27,10,4,8,45,26,32,0,94,1,2,3,1,4,5,0.206
391,Carmen Benedetti,HOU,A,22-22,69,241,295,80,56,20,0,4,49,32,51,0,47,0,2,1,4,1,0,0.332
392,Austin Athmann,DET,A,22-22,90,343,366,92,73,16,0,3,44,35,18,0,69,1,2,2,20,1,0,0.268
393,Francisco Del Valle,LAA,A,20-20,120,401,480,82,43,27,4,8,47,48,63,0,113,13,2,1,4,3,3,0.204
394,Dimas Ojeda,SEA,A,21-22,214,745,805,194,139,41,2,12,76,80,52,2,183,3,2,3,18,3,3,0.26
395,Brayan Morales,LAD,A,21-22,96,353,401,94,69,16,6,3,49,23,28,0,111,12,2,6,3,48,15,0.266
396,Bradley Jones,TOR,A,22-22,49,184,208,60,38,10,3,9,33,39,21,1,47,1,2,0,3,3,2,0.326
397,Brennan Morgan,LAA,A,23-23,106,391,439,90,66,18,2,4,36,50,36,0,83,10,2,0,14,2,2,0.23
398,Troy Sieber,HOU,A,22-22,55,190,230,55,37,11,0,7,34,33,37,1,47,1,2,0,2,0,1,0.289
399,Jonathan Laureano,CLE,A,22-22,89,326,357,80,53,18,0,9,40,38,21,0,86,6,2,2,10,1,3,0.245
400,John Schuknecht,LAA,A,22-22,96,346,389,59,36,12,1,10,40,37,32,0,119,9,2,0,3,3,3,0.171
401,Nick Thurman,SEA,A,23-24,127,430,478,98,74,17,2,5,42,40,37,1,146,7,2,2,7,4,0,0.228
402,Jonatan Machado,STL,A,19-20,63,265,279,64,51,13,0,0,27,19,11,0,54,1,2,0,9,4,5,0.242
403,Kevin Maitan,LAA,A,19-19,123,486,532,104,78,11,3,12,56,46,39,1,164,5,2,0,14,7,4,0.214
404,Lazaro Armenteros,OAK,A,19-19,79,292,340,81,63,8,2,8,43,39,36,0,115,10,2,0,1,8,6,0.277
405,Nick Plummer,STL,A,20-21,196,614,757,124,82,26,4,12,90,47,120,0,240,21,1,1,6,18,16,0.202
